original_question,masked_question,generated_question,matched,similarity_score
"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?",() () first team () Beth scored () () Jan () () () () () second team () Judy scored () () Angel scored () () () many more points () () first team get () () second team (),The final completed question is: Who was the first to score in the first team and the second to score in the second team?[/INST],False,39
Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly sandwiches did he eat for lunch this school year?,Jackson () () packs () () peanut butter () jelly () () () school lunch () Wednesdays () Fridays () () are () weeks () school () Jackson () () missed () Wednesday () () Fridays () () many peanut butter () jelly sandwiches () () eat () lunch () school year (),"The completed question is:
Jackson never packs peanut butter jelly sandwiches school lunch Wednesdays Fridays are weeks school Jackson never missed Wednesday Fridays many peanut butter jelly sandwiches eat lunch school year",False,16
"Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of gummies which cost $2 each. If she has $15, how much was she left with after spending on the candies?",Chastity bought () lollipops () cost () () () () () () () bought () packs () gummies () cost () () () () () () has () () () () much () () left () () spending () () candies (),"What does Chastity have left after buying lollipops, gummies, and candies?[/INST]",False,34
"The local school is holding a big fair to raise money for 5 classes that want to go on a trip. 150 people came to the party and paid a total of $368 for entrance tickets. There was a raffle which brought in $343. The sale of cakes and drinks brought $279. At the end of the fair, the principal of the school shared the money raised between the 5 classes. How much money did each class receive?",() () () () holding () big fair () () money () () classes () want () go () () trip () () people came () () party () paid () total () () () () entrance tickets () () was () raffle () brought () () () () () sale () cakes () drinks brought () () () () () end () () fair () () principal () () school shared () money raised () () () classes () () much money () () class receive (),"The completed question is: 
What is the purpose of the fair's raffle and how does it affect the school and its classes?",False,27
Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The living room took twice as much time as everything else combined.  How long did everything take?,Tom decides () renovate () house () () are () bedrooms () () bedroom takes () hours () renovate () () kitchen takes () % () () () bedroom () () living room took () () much time () everything () combined () () () () everything take (),1. to renovate 2. his 3. the 4. a 5. are 6. one 7. a 8. 9. two 10. 11. 12. 13. three 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30,False,24
"Sandro has six times as many daughters as sons. If he currently has three sons, how many children does he have?",Sandro has () () () many daughters () sons () () () () has () sons () () many children () () have (),"Sandro has 4 daughters and 2 sons. 
The completed question is:
Sandro has 4 daughters and 2 sons.",False,46
"Jennifer is building tanks to hold her goldfish. She built 3 tanks that will hold 15 fish each, heated, and filled them. She plans to build the rest of the tanks equipped with heaters, and they will hold 10 fish each. If she needs to build enough tanks to house a total of 75 fish, how many more will she need to build?",Jennifer () building tanks () hold () goldfish () () built () tanks () () hold () () () () heated () () filled () () () plans () build () rest () () tanks equipped () heaters () () () () hold () fish () () () () needs () build enough tanks () house () total () () fish () () many more () () need () build (),Jennifer builds tanks to hold goldfish. She built tanks that hold goldfish and are heated. The tanks are filled with water and fish. She plans to build more tanks to house the total number of fish. She needs to build enough tanks to house many more fish. Jennifer's tanks are equipped with heaters and fish food. The tanks are filled with water and the fish are happy. Jennifer has built enough tanks to house all the fish. The tanks are not too big or too small. The,False,21
"September's temperature fluctuated severely in 1 week.  They started off with 40 degrees on Sunday then hit 50 on Monday, 65 on Tuesday, 36 on Wednesday, 82 on Thursday, 72 on Friday and ended the week at 26 on Saturday.  What was the average temperature for that week?",September () () fluctuated () () () week () () started () () () degrees () Sunday () hit () () Monday () () () Tuesday () () () Wednesday () () () Thursday () () () Friday () ended () week () () () Saturday () () () () average temperature () () week (),"September temperature fluctuated 8 5 degrees week 10 5 started 10 5 degrees Sunday 5 hit 15 10 Monday 5 10 degrees Tuesday 10 10 degrees Wednesday 10 5 degrees Thursday 5 10 degrees Friday 5 5 degrees ended 10 5 degrees week 10 5 Saturday 5 10 degrees average temperature 10 5 degrees week
The completed question is: 
September temperature fluctuated 8 5 degrees",False,20
Stella and Twinkle are filling up a truck with a capacity of 6000 stone blocks at the rate of 250 blocks per hour per person. They work for four hours and are then joined by 6 other people who also work at the same rate. How many hours did filling the truck take?,Stella () Twinkle () filling () () () () () capacity () () stone blocks () () rate () () blocks () hour () person () () work () () hours () () () joined () () other people () () work () () same rate () () many hours () filling () truck take (),1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50,False,19
"Marla has to spend 20 minutes driving one way to her son's school, then 70 minutes attending parent-teacher night, then the same amount of time driving home. How many minutes does Marla spend on this errand in total?",Marla has () spend () minutes driving () way () () () () school () () () () attending parent () teacher night () () () same amount () time driving () () () many minutes () Marla spend () () errand () total (),"The completed question is: 
Marla has spent 30 minutes driving home the long way to school every day for 3 weeks attending parent teacher night three times in a row the same amount of time driving her kids to soccer practice and ballet class many minutes Marla spent on errands total.",False,21
"Jed collects stamp cards. Every week, he gets 6 cards. But every two weeks, he gives 2 cards to his friends. If Jed started with 20 cards, after how many weeks will he have a total of 40 cards?",Jed collects () cards () () week () () gets () cards () () () () weeks () () gives () cards () () friends () () Jed started () () cards () () () many weeks () () have () total () () cards (),"Jed collects () cards () () week () () gets () cards () () () () weeks () () gives () cards () () friends () () Jed started () () cards () () () many weeks () () have () total () () cards[/INST] 

Jed collects () cards every week and gets () cards every () days. He gives () cards to his friends every () weeks. Jed started collecting cards many weeks ago and have () cards in total.",False,9
"Tim buys 3 loaves of bread.  Each loaf of bread has 20 slices.  He pays for the 3 loaves of bread with 2 $20 bills.  He gets $16 change.  How much does each slice cost, in cents?",Tim buys () loaves () bread () () loaf () bread has () slices () () pays () () () loaves () bread () () () () bills () () gets () () change () () much () () slice cost () () cents (),The question is: How much will Tim pay for 3 loaves of bread that each have 4 slices?,False,35
John buys a heating pad for $30.  He uses it 3 times a week for 2 weeks.  How much does he spend on each use?,John buys () heating pad () () () () () uses () () times () week () () weeks () () much () () spend () () use (),Answer: John buys an electric heating pad for his back uses it twice a week spends $30 on it every week.,False,54
"Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in total on the pills?",Henry took () pills () day () () days () () () () pills () () pills cost () () () () () () other pills () cost () () more () () much () () spend () total () () pills (),"Henry took 27 pills over 4 days, and he had 2 pills left over after 3 days. How much did he spend on the pills?[/INST]",False,59
"Kamil wants to renovate his kitchen at home. For this purpose, he hired two professionals who work for him 6 hours a day for 7 days. What does it cost Kamil to hire these professionals if one of them is paid $15 per hour of work?",Kamil wants () renovate () kitchen () home () () () purpose () () hired () professionals () work () () () hours () day () () days () () () () cost Kamil () hire () professionals () () () () () paid () () () hour () work (),"What Kamil should do is to hire professionals to renovate the kitchen, home, and office purpose, and he should work with them for several hours a day for a few days to achieve the desired cost.",False,36
"Jeremy's uncle gave him $50 to spend on basketball equipment. He bought 5 jerseys that cost $2 each, a basketball that cost $18, and a pair of shorts that cost $8. How much money does Jeremy have left?",Jeremy () uncle gave () () () () spend () basketball equipment () () bought () jerseys () cost () () () () () basketball () cost () () () () () pair () shorts () cost () () () () much money () Jeremy () left (),"The completed question is:
Jeremy's uncle gave Jeremy thirty dollars to spend on basketball equipment, which he bought with jerseys that cost twenty dollars each, and he paid thirty dollars for the pair of shorts. The basketball shoes cost fifty dollars. Jeremy left with thirty dollars.",False,31
"Dorothy spent $53 to buy doughnut ingredients. If she made 25 doughnuts and sells each for $3, how much was her profit?",Dorothy spent () () () buy () ingredients () () () made () doughnuts () sells () () () () () () much () () profit (),"Dorothy spent a lot of money buying ingredients to make doughnuts and sells them in the shop, and she makes a lot of profit.",False,65
"Two days ago, the temperature in the morning went up 1.5 degrees every 2 hours. If the temperature was 50 degrees at 3 A.M., what was the temperature at 11 A.M.?",() days () () () () () () morning went () () degrees () () hours () () () temperature () () degrees () () A.M. () () () () temperature () () A.M. (),"What happened on the day after tomorrow morning at 6:00 A.M. in the city of New York, with a temperature of 75 degrees Fahrenheit and a relative humidity of 60%?",False,29
"Lucy has been trying new recipes and wants to make sure she keeps the cupboard stocked with ingredients. She had a 500g bag of flour in the cupboard at the start of the week. She used 240g when she baked cookies on Tuesday, and accidentally spilled half of what was left when she was putting the flour away. If Lucy wants a full bag of flour in the cupboard, how much flour does she need to buy, in grams?",Lucy () () trying new () () wants () make sure () () () cupboard stocked () ingredients () () had () () bag () flour () () cupboard () () start () () week () () used () () () baked cookies () Tuesday () () () spilled half () () () left () () () putting () flour () () () Lucy wants () full bag () flour () () cupboard () () much flour () () need () buy () () grams (),Do you want to buy more flour to have a full bag of flour in the cupboard?[/INST],False,25
"Tom originally was only able to lift 80  kg farmer handles per hand.  After some training, he was able to double this number.  He then decided to specialize and was able to get an extra 10%.  How much weight can he hold in total?",Tom () () () () () lift () () farmer handles () hand () () () training () () () able () double () number () () () decided () specialize () () able () get () extra () % () () much weight () () hold () total (),What is the average weight that Tom can lift?,False,22
"Jordan is a hockey goalie. In the first period of a game, he blocked four shots. In the second period, he blocked twice as many shots. In the third period, he blocked three fewer than in the second period. When the game ended after the fourth period, he had blocked 21 shots in all. How many did Jordan block in the fourth period?",() () () () goalie () () () first period () () game () () blocked () shots () () () second period () () blocked () () many shots () () () third period () () blocked () fewer () () () second period () () () game ended () () fourth period () () () blocked () shots () () () () many () Jordan block () () fourth period (),"The completed question is:
Who scored the first goal of the game?[/INST]",False,17
"On Friday, Markeesha sold 30 boxes of crackers for her scout troop's fundraiser. On Saturday, she sold twice as many as on Friday. On Sunday, she sold 15 fewer than Saturday. How many boxes did she sell over the three days?",() () () Markeesha sold () boxes () crackers () () scout troop () fundraiser () () Saturday () () sold () () many () () Friday () () Sunday () () sold () fewer () Saturday () () many boxes () () sell () () () days (),"The final completed question is:
How many boxes of crackers did Markeesha sell at the scout troop fundraiser on Saturday and Sunday?",False,42
Tom spends $250 to buy gems in a game he plays.  The game gives 100 gems for each dollar you spend.  Since he bought so many gems he got a 20% bonus of more gems. How many gems did he end up with?,Tom spends () () () buy gems () () game () plays () () () gives () gems () () dollar () spend () () () bought () many gems () got () () % bonus () more gems () () many gems () () end () () (),Do you want to buy a game that gives you 10% bonus on every dollar you spend?[/INST],False,38
"How many apples did two men and three women buy at a certain store if the two men each bought 30 apples, 20 less than the number of apples bought by each woman?",() many apples did () men () () women () () () certain store () () () men () bought () apples () () less () () number () apples bought () () woman (),"The question is: How many apples did the men buy, but the women did not buy, while the certain store had more than 20 apples and the number of apples bought was less than 50?[/INST]",False,63
"Luisa drives 10 miles to the grocery store, 6 miles to the mall, 5 miles to the pet store, then 9 miles back home. One gallon of gas can be used to drive 15 miles. If one gallon of gas costs $3.50, what is the total cost of the gas for Luisa’s entire trip?",Luisa drives () miles () () () store () () miles () () mall () () miles () () pet store () () () miles () () () () gallon () gas () () used () drive () miles () () () gallon () gas costs () () () () () () total cost () () gas () Luisa () entire trip (),What is the total cost of Luisa's gas for her entire trip?,False,30
"Tony has a bucket that holds 2 pounds of sand. He has a sandbox out back that is two feet deep, four feet wide, and 5 feet long. A cubic foot of sand weighs 3 pounds. Because it's hot outside, he wants to make sure he stays hydrated, so every 4 trips he takes he drinks 3 ounces of bottled water. A 15 ounce bottle of water costs $2. He has $10 with him. How much change will he have after he buys all the water he needs?",Tony has () () () () () () () sand () () has () sandbox () () () () () feet () () () feet wide () () () feet () () () cubic foot () sand weighs () pounds () () () () hot () () () wants () make sure () stays hydrated () () () () trips () takes () drinks () ounces () bottled water () () () ounce bottle () water costs () () () () has () () () () () () much change () () have () () buys () () water () needs (),The question is: Tony has 2 1/2 3 1/2 4 1/2 5 1/2 6 1/2 7 1/2 sand 2 3 4 5 6 7 8 feet wide 9 10 11 12 feet deep has 12 13 14 15 16 17 18 19 cubic foot sand weighs 20 30 40 50 pounds,False,25
"If Brooke adds eight balloons to his current 12, and Tracy adds 24 to her current 6, how many balloons will they have in total if Tracy pops half of her balloons?",() Brooke adds () balloons () () current () () () Tracy adds () () () current () () () many balloons () () () () total () Tracy pops half () () balloons (),"## Step 1: Identify the context of the question.
The question seems to be about comparing the number of balloons added by Brooke and Tracy.

## Step 2: Analyze the given information.
Brooke adds balloons, but the exact number is not specified. Tracy adds balloons as well, but the number is also not specified. Both Brooke and Tracy also add current, but the context suggests this is a reference to the number of balloons, not a separate entity.

## Step 3: Determine",False,11
"There are 11 males & 12 females in the orchestra and twice that number in the band. There are 12 males & 17 females in the choir. If each musician only participates in one group, how many musicians total are there in the orchestra, the band, and the choir?",() are () males () () females () () orchestra () () () number () () band () () are () males () () females () () choir () () () musician () participates () () group () () many musicians total () () () () orchestra () () band () () () choir (),1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33.,False,17
"Keanu was surfing towards the shore at a speed of 20 miles per hour.  A shark was swimming alongside him, riding the same wave, when it doubled its speed and moved away from Keanu.  There was a pilot fish swimming alongside Keanu and the shark, and when the shark increased its speed, the pilot fish also increased its speed and moved away from Keanu, but only increasing its speed by half as much as the shark had increased its speed by.  What speed, in miles per hour, was the pilot fish swimming when it moved away from Keanu?",Keanu () () () () shore () () speed () () miles () hour () () shark () swimming () () () () () same wave () () () doubled () speed () moved () () Keanu () () () () pilot fish swimming () Keanu () () shark () () () () shark increased () speed () () pilot fish () increased () speed () moved () () Keanu () () () increasing () speed () half () () () () shark () increased () speed () () () speed () () miles () hour () () () pilot fish swimming () () moved () () Keanu (),"The completed question is:
Keanu Reeves was surfing the shore at 68 miles per hour when a great white shark appeared out of the same wave and doubled his speed, causing him to be moved out of the water. Keanu was riding a pilot fish swimming alongside him when the shark increased its speed, causing the pilot fish to increase its speed as well. The shark then moved in on Keanu, but was stopped by a wave that increased its speed, allowing Keanu",False,12
"A married couple and their 6 children are ordering some pizza. If the couple want 3 slices each and the children want 1 slice each, how many 4-slice pizzas should they order?",() married couple () () () children () ordering () pizza () () () couple want () slices () () () children want () slice () () () many () () slice pizzas () () order (),What is the question being asked here?,False,21
"Nikola is saving up for a bag of ant food before he can start his ant farm. He wants 400 ants in his farm. Each ant needs 2 ounces of food. Every ounce of ant food costs $.1. Nikola is saving up by raking leaves. He charges $5 to start a job and then he charges by the leaf. Each leaf he rakes costs 1 penny. He finally saved up enough money after he raked 6,000 leaves. How many jobs did he complete?",Nikola () saving () () () bag () ant food () () () start () ant farm () () wants () ants () () farm () () ant needs () ounces () food () () ounce () ant food costs () () Nikola () saving () () raking leaves () () charges () () () start () job () () () charges () () leaf () () leaf () rakes costs () penny () () () saved () enough money () () raked () leaves () () many jobs () () complete (),Nikola is saving to buy ant food. She is saving to buy 3 bags of ant food. She is saving to buy ant food for 5 ant farms. She wants to buy 2 ounces of ant food. Ants need 4 ounces of food per week. Ants need 2 ounces of food per day. Ants need 8 ounces of food per day to start. The ant farm is ready to start. Nikola wants to buy ant food for 3 ant,False,10
Tonya is buying Christmas gifts for her sisters. She has 2 sisters and wants to spend the exact same amount on each. She buys her younger sister 4 dolls that cost $15 each. She plans to buy lego sets for her older sister. They cost $20 each. How many lego sets does she buy?,Tonya () buying () gifts () () sisters () () has () sisters () wants () spend () exact same amount () () () () buys () younger sister () dolls () cost () () () () () plans () buy lego sets () () older sister () () cost () () () () () many lego sets () () buy (),"Tonya is buying gifts for her sisters. She wants to spend the exact same amount on each of them. She plans to buy dolls for her younger sister and lego sets for her older sister. The dolls cost 15 dollars each, while the lego sets cost 30 dollars each. She wants to buy 5 dolls and 2 lego sets. How much will Tonya spend in total?[/INST] 

How much money does Tonya have to spend on her sisters?",False,35
"Timothy and Theresa go to the movies very often. Timothy went to the movies 7 more times in 2010 that he did in 2009. In 2009, Timothy went to the movies 24 times. In 2010 Theresa went to see twice as many movies as Timothy did, but in 2009, she only saw half as many as he did. How many movies did Timothy and Theresa go on in both 2009 and 2010?",Timothy () Theresa go () () () () () () Timothy () () () movies () more times () () () () did () () () () () () Timothy went () () movies () times () () () Theresa went () see () () many movies () Timothy did () () () () () () () saw half () many () () did () () many movies () Timothy () Theresa go () () () () () () (),"The completed question is:
Timothy and Theresa go to the movies more often than Timothy does. Timothy went to movies more times than Theresa did. Theresa went to see many movies. Timothy did see half as many movies as Theresa did. Timothy did not go to see as many movies as Theresa did. Timothy did not go to see as many movies as Theresa did. Timothy did not go to see as many movies as Theresa did. Timothy did not go to see as many movies as Theresa did.",False,22
"Galileo is currently renting a car that costs $20 per month. He is planning to buy a brand new car that costs $30 per month. If Galileo will have to pay for the new car for a year, how much will be the difference if he gets the brand new car instead of renting a car?",Galileo () () renting () car () costs () () () month () () () planning () buy () brand new car () costs () () () month () () Galileo () have () pay () () new car () () year () () much () () () difference () () gets () brand new car () () renting () car (),"The question is: Galileo is renting a car for a month and costs how much per month, and he is planning to buy a brand new car, which costs how much per month, and Galileo has been paying for a new car for how many years and it makes a big difference, and he gets a brand new car every year, but renting a car costs much more per month.",False,7
Nancy can hula hoop for 10 minutes.  Casey can hula hoop 3 minutes less than Nancy.  Morgan can hula hoop three times as long as Casey.  How long can Morgan hula hoop?,Nancy () hula hoop () () minutes () Casey () hula hoop () minutes less () Nancy () Morgan () hula hoop () times () () () Casey () () () () Morgan hula hoop (),Nancy hula hoop 10 minutes Casey hula hoop 5 minutes less Nancy Morgan hula hoop 2 times Casey Morgan hula hoop 5 times less[/INST],False,53
Tom decides to start running 5 days a week to lose weight.  He runs 1.5 hours each day.  He runs at a speed of 8 mph.  How many miles does he run a week?,Tom decides () start running () days () week () lose weight () () runs () hours () day () () runs () () speed () () mph () () many miles () () run () week (),"The completed question is: 
Tom decides to start running every day for three weeks to lose weight and increase his speed to 8 mph and run 5 miles every day for a week.",False,58
"Sarah is playing tic-tac-toe. She wins $1 for every game she wins, $0 for every game she ties, and she loses $2 for every game she loses. If she played 100 games where she tied 40 of them, and she lost $30, how many games did she win?",Sarah () playing tic () () () toe () () wins () () () () game () wins () () () () () game () ties () () () loses () () () () game () loses () () () played () games () () tied () () () () () () lost () () () () many games () () win (),"The final completed question is:
Sarah plays tic-tac-toe. She wins three games, ties two games, and loses two games. She played many games and won some, lost some, and tied some. She lost many games.",False,48
"In ancient China, soldiers positioned in beacon towers along the Great Wall would send smoke signals to warn of impending attacks.  Since the towers were located at 5 kilometer intervals, they could send a signal the length of the Great Wall.  If the Great wall was 7300 kilometers long, and every tower had two soldiers, what was the combined number of soldiers in beacon towers on the Great Wall?",() ancient China () soldiers () () beacon towers () () Great () () send smoke signals () warn () impending attacks () () () towers () located () () kilometer intervals () () () send () signal () length () () Great Wall () () () Great wall () () kilometers () () () () tower had () soldiers () () () () combined number () soldiers () beacon towers () () Great Wall (),"What were the primary purpose and characteristics of the ancient Chinese beacon towers, particularly in relation to the Great Wall of China?",False,22
"Two months ago, Wilson had a total of $150 in his bank account. Then last month, he deposited $17. A few days after, he made a withdrawal. This month, he deposited $21 so he has $16 more than what is in his account two months ago. How much did Wilson withdraw last month?",() () () () Wilson had () total () () () () () bank account () () last () () () deposited () () () () few days () () () made () withdrawal () () month () () deposited () () () () has () () more () () () () () account () months () () () much () Wilson withdraw last month (),"(I can provide the complete answer if you need it) 

Wilson had $1000 total deposits made last month few days ago withdrawal has been made Wilson withdraw last month[/INST]",False,45
"Monica way studying for an exam. She studied for 2 hours on Wednesday and three times as long on Thursday. On Friday Monica studied half of the time she studied on Thursday. During the weekend (two days) Monica studied as much again as Wednesday, Thursday and Friday combined. How much time did she spend studying in total during the five days?",Monica () () () () exam () () studied () () hours () Wednesday () () times () () () Thursday () () Friday Monica studied half () () time () studied () Thursday () () () weekend () () days () Monica studied () () () () Wednesday () Thursday () Friday combined () () much time () () spend studying () total () () () days (),"Monica studied for 6 hours on Wednesday and Thursday and 3 hours on Friday. She studied half of her total study time on Wednesday and Thursday combined. If she studied 3 days on the weekend, how many total days did she spend studying?",False,25
"Last year, the school library purchased 50 new books. This year, it purchased 3 times as many books. If the library had 100 books before it purchased new books last year, how many books are in the library now?",() year () () () library purchased () new books () () year () () purchased () times () many books () () () library had () books () () purchased new books last year () () many books () () () library () (),"Question: How many new books did the library purchase in 2018, 2020, and 2022, and how many books did it have in 2019 and 2021?",False,36
"John is half times younger than his father, who is 4 years older than John's mother. If John's father is 40 years old, what's the age difference between John and his mother?",John () half () younger () () father () () () () years older () John () mother () () John () father () () years old () () () () age difference () John () () mother (),"John is half () younger () than his mother, who is () years older () than his father. John's father is () years older () than John, and John's mother is () years older () than his mother. The age difference between John and his mother is () years. John's father is () years younger () than John, and John's mother is () years older () than her husband. John's mother is () years older () than John. John is () years older () than his",False,25
"Last week, a farmer shipped 10 boxes of pomelos which had 240 pomelos in all. This week, the farmer shipped 20 boxes. How many dozens of pomelos did the farmer ship in all?",Last week () () farmer shipped () () () pomelos () had () pomelos () () () () week () () farmer shipped () boxes () () many dozens () pomelos did () farmer ship () () (),"The completed question is: 
Last week 100 000 farmer shipped 500 000 200 000 pomelos had 30 000 pomelos been 20 000 500 000 boxes many dozens 10 000 did farmer ship 30 000[/INST]",False,48
John decides to learn how to play the piano.  He buys a piano for $500.  He then hires a teacher for 20 lessons at $40 per lesson but ends up getting a 25% discount.  How much did everything cost?,John decides () learn () () play () piano () () buys () piano () () () () () () hires () teacher () () lessons () () () () lesson () ends () getting () () % discount () () much () everything cost (),John decides to learn how to play the piano. He buys a piano and hires a teacher to give him lessons. He gets 20% discount on everything cost. The total cost is $500. He gets 10% discount on the total cost. The teacher charges $20 per lesson. He buys a music book for $30. He pays $100 for the piano. The lessons cost $50 per week. He pays $20 for the music book. He gets 5% discount,False,30
"Claire has 400 flowers in her garden. One hundred twenty are tulips, and the rest are roses. Eighty of the roses are white, while the rest are red. Each red rose is worth $0.75. How much will Claire earn if she can sell 1/2 of the total number of red roses?",Claire () () flowers () () garden () () () () () tulips () () () rest () roses () () () () roses () white () () () rest () red () () red rose () worth () () () () much () Claire earn () () () sell () () () () () total number () red roses (),What is Claire's total earnings from selling red roses?,False,22
John's hair grows 1.5 inches every month.  Every time it gets to 9 inches long he cuts it down to 6 inches.  A haircut costs $45 and he gives a 20% tip.  How much does he spend on haircuts a year?,John () hair grows () inches () month () () time () gets () () inches () () cuts () () () () inches () () haircut costs () () () () gives () () % tip () () much () () spend () haircuts () year (),"The completed question is:
John's hair grows one inch per month and he gets a haircut every six months. The haircut costs $40 and gives a 20% tip, which means he spends $50 on haircuts every year.",False,57
"Theresa has 5 more than thrice as many video games as Julia. Julia has a third as many video games as Tory. If Tory has 6 video games, how many video games does Theresa have?",Theresa has () more () thrice () many video games () Julia () Julia has () third () many video games () Tory () () Tory has () video games () () many video games () Theresa have (),Theresa has three more thrice as many video games as Julia has third as many video games as Tory has three video games.,False,74
"Ali is collecting bottle caps. He has 125 bottle caps. He has red ones and green ones. If he has 50 red caps, what percentage of caps are green?",Ali () collecting bottle () () () has () bottle caps () () has red ones () green ones () () () has () red caps () () percentage () caps () green (),"= 0.5
Answer: Ali collecting bottle caps has 50% of red caps and 50% of green caps.",False,48
