,id,question,question_concept,choices,answerKey
4332,3c67815352fec6a0fdf7656ccb5b5fd5,"The bald eagle has been a protected species, this is in part due to a dwindling what?",bald eagle,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nest', 'everglades', 'high places', 'in washington',
       'natural habitat'], dtype=object)}",E
172,e99da2b1d9ec4be89c2b42407aa5a15f,What could you add a line to?,line,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'graph', 'post office', 'grass', 'play'], dtype=object)}",B
6039,557237ba0b61f9a69ec696bdbb00743d,Going in an air conditioned room to cool off is a good way to get what from hot weather?,cool off,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'go swimming', 'relief', 'calm down', 'change'],
      dtype=object)}",C
7233,91ffbe8c9cbcaa04e4ed41ba2d8f998f,Where might a snake drop from?,snake,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'pet shops', 'feild', 'tropical forest', 'cage'],
      dtype=object)}",A
5643,120a6af76efd75ec095c053287a6c937,"Sam treasured his freedom.  When he became a POW, he tried to escape from what?",freedom,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['communism', 'oppression', 'slavery', 'bad marriage', 'captivity'],
      dtype=object)}",E
236,c3b6280d05a9f9c5b031fcbeaa0ce695,"Though nearby, an apple from an apple tree where would be an imported product to the USA?",apple tree,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ohio', 'washington state', 'alaska', 'canada', 'flowers'],
      dtype=object)}",D
3350,daf313b39a95084a099ea8706f803061,"If a cottage is above the cloud line, where is it?",cottage,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['village', 'rural area', 'mountains', 'fairy story', 'valley'],
      dtype=object)}",C
5254,bfaff48744a77de1fd5e91f809d86656,What do most people hope to achieve when playing sports?,playing sports,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['an mbe', 'running', 'winning', 'have fun', 'cheat'], dtype=object)}",C
6087,3835b21ecc2c5c9317ea73aa57a5bc1c,When you haven't seen someone since they were young and years have passed what has happened to them?,young,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['senior', 'grow', 'mature', 'old', 'aged'], dtype=object)}",E
8071,cf34c4f1f58776ea0ab49b91a35ca02c,"The man wanted a new ottoman, so where did he look?",ottoman,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['basement', 'furniture store', 'decoration', 'parlor',
       'couch outlet'], dtype=object)}",B
181,442dd2d372228b9942f55d761ef961a3,Where are there more telephone booths?,telephone booth,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gas stations', 'city', 'london', 'train station', 'airport'],
      dtype=object)}",B
1973,876a2b6510b536f4f1aac16d59ff882c,Where does a car belong?,car,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['air port', 'repair shop', 'road', 'race track', 'freeway'],
      dtype=object)}",C
8412,b17ba07ad5bb352166d409f33a69bbde,Where do most birds put eggs?,bird,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nest', 'forest', 'cage', 'store', 'sky'], dtype=object)}",A
8285,697879acd78b80cb873af2643294f032,"Playing tennis requires at least one opponent, a ball, and a what?",playing tennis,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['skill', 'big money', 'time', 'tennis racket', 'legs'],
      dtype=object)}",D
2983,c42d4a2a31a4442832074cd3c697a2cc,What would you be doing if you are having lunch?,having lunch,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eating', 'hunger', 'burp', 'laughing', 'food'], dtype=object)}",A
1061,87f8bfdea382f440c65027372991fc99,A hinged door is not always found in which room of the house?,hinged door,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jamb', 'own house', 'building', 'kitchen', 'washing machine'],
      dtype=object)}",D
3770,d1e02be9922ae8f52cef4a7dca8fa331,Why could someone fall down after eating lunch?,eating lunch,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drowsiness', 'late for work', 'feel full', 'lethargy',
       'feel sleepy'], dtype=object)}",E
7165,5556bf1702075d307fe639156412e042,What is the opposite of ambiguous?,ambiguous,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clear', 'certain', 'distinct', 'blurry', 'explicit'], dtype=object)}",A
4446,e7fd320d1b0935f833e378f9b7aea2a9,What do people feel when something good happens?,people,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['experience joy', 'believe in god', 'sadness', 'get sick',
       'ask questions'], dtype=object)}",A
6404,15a0a893bb90661d44ebe6fbc04a09d1,A modern farmer needs many skills common for who in order to manage finances and increase sales?,farmer,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['harvesting', 'business man', 'city dweller', 'farm land',
       'industrial'], dtype=object)}",B
9087,cf6dd9e9b603b02049f80202ef537383,Where in your office would you store a highlight that you don't use often?,highlighter,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office supply store', 'case', 'desk drawer', 'campus book store',
       'lamp'], dtype=object)}",C
2933,4adaae09787113aacf58028c3ca97948,"She loved the music so much, how did she describe it?",music,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['silent', 'express emotion', 'beautifull', 'irritate',
       'quiet mind'], dtype=object)}",C
5124,9785f452c949c6db50a7162aea120437,Where would you store potato chips in their home?,chips,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['supermarket', 'toilet', 'pantry', 'bar', 'motherboard'],
      dtype=object)}",C
4930,c127dc0a6c2701ff59e20c7070fbce8c,Why do people want to swim in the heat?,swim,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wear bathing suit', 'fun', 'excercise', 'cool down', 'exercise'],
      dtype=object)}",D
1599,866deeda79fe257ffcfc08c674962894,"A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?",snake,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nature', 'pet shop', 'georgia', 'tropical forest', 'france'],
      dtype=object)}",A
3246,3baeaad2a086a01163a3843487ea1039,Where is known for powerful storms from the ocean?,storm,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rain', 'weather report', 'tropics', 'summer', 'america'],
      dtype=object)}",C
1879,f8172664e106f16aea64ee4fccb3e0c7,Thousands of companies and a rosebush call what place home?,rosebush,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lawn', 'rose parade', 'backyard', 'delaware', 'planting'],
      dtype=object)}",D
73,58c3817107e323fdd7d70c4014990626,Where could you see an advertisement while reading news?,advertisement,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['television', 'bus', 'email', 'web page', 'la ville'], dtype=object)}",D
2314,73f3f34462fc60d229b194580e7d1744,Most people won't always say what they mean.   They're twisty like that.  They want to avoid conflict. You have to use your brain if you want to understand.    What do most people due sometimes?,most people,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lie', 'set table', 'think', 'read books', 'not speak'],
      dtype=object)}",A
1155,ee9a374176ae07c14ab7c0b2adc02b7b,"The children were going to play, the parents encouraged it hoping it resulted in what?",going to play,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being entertained', 'spending money', 'intermission',
       'weight loss', 'sleepiness'], dtype=object)}",E
4814,f0de70cdbcc02782af3870228ad133de,If you entire body is experiencing fatigue what would you do at the end of the day?,fatigue,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sleep', 'sit down', 'sit on chair', 'have rest', 'lie on floor'],
      dtype=object)}",A
5943,9e8abd6ed99d6d0125a7a7cdbb272e1c,"if you cogitate on something for a long time, you can get this feeling?",cogitating,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['might understand', 'enjoy', 'sit comfortably',
       'think about things', 'get irritated'], dtype=object)}",A
4099,a7312907b6a6c487508ecbc8b70ff863,"After answering questions from the press for hours, what did the police chief feel?",answering questions,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritation', 'sadness', 'polite', 'teaching', 'detective'],
      dtype=object)}",A
9121,221c93c7b7850d527692934dbeaf7156,"A lawyer is taking care of proposals, what are they trying to do?",taking care of proposals,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['paperwork', 'getting work done', 'results', 'finishing up',
       'marriage'], dtype=object)}",B
3866,58713467ef9b426cc1e6033bcf7bef62,"When you want to go to bed with a pretty girl and want to get warm, what do you need to do?",go to bed,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pull up covers', 'fall asleep', 'brush teeth',
       'remove the covers', 'get laid'], dtype=object)}",A
1132,1154f4c7b861d66ca531bef6ec873e1c,"It is a teachers job to help students commit to memory new skills, what is the teachers main job in the classroom to help students do?",commit to memory,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make tape', 'memorize', 'never forget', 'concentrate', 'learn'],
      dtype=object)}",E
6826,79d2e1d7f876bd676a3f8abf1dd051b0,Where is aberdeen in the US located?,aberdeen,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['washington', 'europe', 'scotland', 'maryland', 'south dakota'],
      dtype=object)}",A
7115,c830d821e857afb10fb3895859c47557,Where do students stick gum in school?,gum,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['books', 'sidewalk', 'water fountain', 'shelf', 'movies'],
      dtype=object)}",C
4878,7e51b17fac83325b74b4923607f82fce,What is a method expressing yourself while making an object of lasting beauty?,expressing yourself,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['understood', 'being slapped', 'people will understand', 'pain',
       'creation of art'], dtype=object)}",E
2649,c41b829944815e18e945ba30f2f1ff2d,James was dedicated to contemplating things.  What did he seek?,contemplating,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['revelations', 'hesitation', 'lessons', 'new insights',
       'enlightenment'], dtype=object)}",E
6642,29dbe400236f47f534b89f903dfa713b,Where could I buy some chocolate?,chocolate,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'hotel', 'mouth', 'box', 'supermarket'], dtype=object)}",E
3391,2add47b0fb30af6f0c53e9e37fde334d_1,"The police saw the moving car, what did they know the suspect was doing?",moving car,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['driving', 'breathing', 'getting tired', 'ticket', 'accidents'],
      dtype=object)}",A
6542,f273f70b5f783466931555d5a391e161,Where are you normally when you take a bath?,bath,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['greece', 'hotel room', 'clothing store', 'own home', 'house'],
      dtype=object)}",D
9190,e74b768a33f0f591af80fe4d8ef8f304,where can someone get a new chess set?,chess set,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'toy store', 'michigan', 'cupboard', 'dorm'],
      dtype=object)}",B
358,846a368a6c74259556f8df1a31db77cb,"When he was a small child he called the giraffe mascot a cow, it was a fond memory of the now defunct what?",cow,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toy store', 'story book', 'great outdoors', 'countryside',
       'wildlife refuge'], dtype=object)}",A
3906,7cc82a88e4b85df5b78ca37ca58362fa,Where do lizards like to sun themselves?,lizard,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garden', 'jazz club', 'tropical rainforest', 'rocky places',
       'tanning bed'], dtype=object)}",D
6102,f4875cde564c06795dff317449b855f1,Which state are you in if you're at a tennis court in a mitten-shaped state?,tennis court,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['town', 'country club', 'health club', 'florida', 'michigan'],
      dtype=object)}",E
533,bb3c158fe3d9c54d18fcb178caf8b070,Where are you if your reading magazines while waiting for a vehicle on rails?,magazines,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['vegetables', 'market', 'doctor', 'train station', 'bookstore'],
      dtype=object)}",D
9404,1098d6e38f549550bfd5ded1ccaa73e1,Where might a bureau be in charge?,bureau,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['french government', 'home office', 'office building',
       'parliament', 'bedroom'], dtype=object)}",A
9282,10ce9f17e72c70bde21544edbe5b9591,What kind of leave did the manager assign all nonessential personnel?,nonessential,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mandatory', 'shall', 'necessary', 'essential', 'required'],
      dtype=object)}",A
8142,98bbe0d300f5f0d7983d0081ed187b4d,When you meet interesting people your contacts list is likely to do what?,meet interesting people,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['remember names', 'grow', 'friendly', 'cordial', 'friendship'],
      dtype=object)}",B
8910,d7c8377953e0175ef57d59f3a8e63a8e,What place could have one back garden?,back garden,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['police station', 'city', 'town', 'england', 'house'], dtype=object)}",E
3857,3c06db0a2abf67151514d6c568eb66b5,Where does a cast act?,cast,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['perform', 'stage', 'cast net', 'film', 'broken leg'], dtype=object)}",B
6523,5d31ff30918b50af03e6eca3f7b7967e,"Bill wants to make a fortune while sailing in the Caribbean, what should he look for?",fortune,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'stock market', 'treasure chest', 'bag of cash',
       'real estate'], dtype=object)}",C
3808,5bab8120c2814c3a66fa4262f7500fba,If you have plenty to eat when you have lunch you'll do what?,have lunch,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eath', 'pouring coffee', 'feel empty', 'get full',
       'getting in line'], dtype=object)}",D
5586,31b7eb91c8e4c9bfa936ce979f5a4ca8,James was an American horse. He thought his home was too hot.  Where might he have lived?,horse,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arizona', 'farm yard', 'south', 'michigan', 'western movie'],
      dtype=object)}",A
7576,4dd40d984b5779ac7b2089212061a772,"The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?",glad,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['regretful', 'hatred', 'downcast', 'unhappy', 'disappointed'],
      dtype=object)}",E
9310,8c2c17b50f2f10e4f3004c30dbfccc19,What does the D in DRC stand for?,republic,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dictatorship', 'democracy', 'democracy', 'state', 'democratic'],
      dtype=object)}",E
2046,8959f7fd535adcbfa7028dc13af3dcb2,After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?,teacher,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['evaluate progress', 'include examples', 'time test',
       'prepare dinner', 'eat children'], dtype=object)}",D
4439,068ce575c1fe83c0c19afc43e2b23169,"James spent his days at his cottage trying to capture the beauty of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?",cottage,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mountains', 'dense areas', 'village', 'countryside', 'painting'],
      dtype=object)}",E
4692,4bb828a8c61988957739eed4f8518332,Where is a good place for a safabed to be so it can also be used for seating?,sofabed,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garage', 'sitting room', 'spare room', 'livingroom',
       'dinning roam'], dtype=object)}",B
4201,5dffd7d4ae870d46e62928bbb9c9d2a7,Where are things sometimes organized by a card catalog?,card catalog,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['store', 'recipe book', 'kitchen', 'easy browsing', 'library'],
      dtype=object)}",E
4832,4a038540c439a347ad60b361c1cf1e62,Where are you when an employee brings you cooked potatoes?,potatoes,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathroom', 'cellar', 'countryside', 'restaurant', 'plate'],
      dtype=object)}",D
1970,c277775dce20e98575156b8b983c258c,"Jeremy is mastering a music scale, where should he find books on the matter?",scale,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['post office', 'music store', 'assay office', 'butcher shop',
       ""doctor's office""], dtype=object)}",B
861,ed4685a26e896a7a6d37e8c8f787729f,What would a person do to help someone that is not able to speak coherently?,person,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sign language', 'complete sentence', 'drink tea', 'feel angry',
       'cross street'], dtype=object)}",B
7900,e5dcb0e9ce9d020ff021e6892885292a,What would you put a spoon into after you finish eating?,spoon,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dishwasher', 'bowl of soup', 'washing machine', 'serving dish',
       'dinner'], dtype=object)}",A
5156,cd9ee2d4be94cf10c244eebc689b8f77,Where does something get weighed on a scale in order to determine a price?,scale,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'bathroom', 'post office', 'craft store',
       ""doctor's office""], dtype=object)}",C
5866,dce47167b8dab9cf3ef1834e2b1e88dd,If the though of performing makes you anxious what do you suffer from?,performing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being appreciated', 'get attention', 'terror', 'stage fright',
       'fear'], dtype=object)}",D
3477,63ecae5ec728ad57ab0907229484fdd5,What is a reason to pay your television bill?,television,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['informative', 'dead', 'legal', 'entertaining', 'obsolete'],
      dtype=object)}",C
9658,19eee9caa52e736b12c192071c4046f3,"If a couple is having financial issues, buying products can lead to what?",buying products,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['economic boom', 'being able to use', 'disagreements',
       'spending money', 'joy'], dtype=object)}",C
505,15c68e50e58319ae935c8076cdaf48d3,"After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?",killing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wrong', 'death of', 'bad', 'negative', 'evil'], dtype=object)}",E
1485,08635abd9b1b2fbe1bd3a23f03ceff63,"Matt had issues controlling his anger, what did he do when someone set him off?",anger,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['destroy enemy', 'punch', 'cool off', 'write letter',
       'illustrate point'], dtype=object)}",B
1690,5cd7f44bbf730dfae5ef2a362d2e5149,What can help you with an illness?,illness,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['elderly person', 'sick person', 'hospital', ""doctor's office"",
       'stomach'], dtype=object)}",D
297,390eef19c5f2b7fbd42f56cf036e1fd3,Where will a bullet projectile be found during a war?,projectile,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battle field', 'museum', 'weapon', 'canon', 'tornado'],
      dtype=object)}",A
4977,bf1116612abf1a5948e2e3ba94bff3ae,"She was playing violin with the hope of recording it someday, what did she want to do with her talent?",play violin,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['calluses', 'playing wrong note', 'audition', 'making music',
       'read music'], dtype=object)}",D
47,c428412a660f34965772a7389ce58e0a,What might be the result of a season of successful skiing?,skiing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['finish line', 'broken bones', 'broken legs', 'chapped lips',
       'healthy body'], dtype=object)}",E
1086,bd9b81f43baf042635fee3b20c98e705,"Working in the vegetable garden everyday is good for you, you get to spend time where?",vegetable garden,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backyard', 'outside', 'amusement park', 'eating', 'back yard'],
      dtype=object)}",B
726,a1b81a0188d5ee00088a166e3aea5446,What type of water transportation is human powered?,human,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['turn away', 'let down', 'have to sleep', 'run', 'row boat'],
      dtype=object)}",E
3418,144d734404d15d00e048ec209eb8ed92,"If you saw a fish break the surface of the water and flap its fins in the air, you might think it is doing what?",fish,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school together', 'pets', 'attempt to fly', 'find food', 'hatred'],
      dtype=object)}",C
1039,f85b6ec6ad784b0664935f21877003cd,Where might you find a computer user that is visiting a foreign city and didn't bring their own computer along?,computer user,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school', 'hell', 'internet cafe', 'office building', 'despair'],
      dtype=object)}",C
1974,0abf342a1e79ad512937a194474480ed,When you're getting drunk and stumbling what might you be feeling?,getting drunk,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stumbling', 'nausea', 'fights', 'death',
       'your head hit the ground'], dtype=object)}",B
4723,28a6d37816be84e77ac79bef5a12b433,"The man was sick of secular consumerism, what life did he seek instead?",secular,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eternal', 'married life', 'religious', 'monastic',
       'unpredictable'], dtype=object)}",D
4263,18c43c58a0e0472084ad630d4d0c1093,Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?,relaxing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling good', 'deep breathing', 'sleeping', 'taking a bath',
       'fall asleep'], dtype=object)}",B
7001,80138b9cea63d347acdacdba0c5ed16b,James turned on his computer and the monitor lit on the room.  What might his body do as he stands there?,computer,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see a ghost', 'become sensible', 'make decisions', 'crash',
       'cast shadow'], dtype=object)}",E
6268,d683040f7fb16669504f36845cee5cae,If an insurance adjuster finds your claim incorrect they will do what?,claim,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forgive', 'disown reject', 'relinquish', 'deny', 'give back'],
      dtype=object)}",D
2989,fe780c1e09eb8ddeace179db3b3667fa,Bill loved riding his bike and did it all the time.  He had trouble going up hills and sometimes pushed himself to the point of what?,riding bike,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'give up', 'exhaustion', 'travelling',
       'going somewhere'], dtype=object)}",C
3262,4940cfa669ed367ebdb9c4143cf5d60e,"After I urinate and flush the toilet and wash my hands, what should I do next?",urinate,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flush toilet', 'dry hands', 'zip pants', 'eat', 'wash hands'],
      dtype=object)}",D
