original_question,masked_question,nouns,noun_count
"A company owns and operates a chemical plant that manufactures paraquat, an herbicide used primarily as a weed killer. The plant is located in a rural area in the southwestern part of the state. In its production of paraquat, the company emits putrid smelling fumes throughout the surrounding countryside. Although the fumes are harmless to health, they are rank and highly offensive. Despite extensive research by the company to alleviate the problem, there is no known way to manufacture paraquat without discharging malodorous fumes into the air. An owner of a large dairy farm that is adjacent to the plant finds the foul-smelling herbicide fumes to be extremely unpleasant and totally objectionable. The owner brings an action based on private nuisance against the company and seeks to enjoin the manufacture of paraquat at the chemical plant. Which of the following facts, if proven, will be most helpful to the company's defense?",() company () () operates () () plant () manufactures paraquat () () herbicide used () () () weed () () () plant () located () () rural area () () southwestern part () () state () () () production () paraquat () () company emits putrid smelling fumes () () surrounding countryside () () () fumes () harmless () health () () () rank () () offensive () () extensive research () () company () alleviate () problem () () is () known way () manufacture paraquat () discharging malodorous fumes () () air () () owner () () large dairy farm () () adjacent () () plant finds () foul () smelling herbicide fumes () () () unpleasant () () objectionable () () owner brings () action based () private nuisance () () company () seeks () enjoin () manufacture () paraquat () () chemical plant () () () () following facts () () proven () () () () helpful () () company () defense (),"['company', 'owns', 'operates', 'chemical', 'plant', 'manufactures', 'paraquat', 'herbicide', 'used', 'weed', 'killer', 'plant', 'located', 'rural', 'area', 'southwestern', 'part', 'state', 'production', 'paraquat', 'company', 'emits', 'putrid', 'smelling', 'fumes', 'surrounding', 'harmless', 'health', 'offensive', 'extensive', 'research', 'company', 'alleviate', 'problem', 'is', 'known', 'way', 'manufacture', 'paraquat', 'discharging', 'malodorous', 'fumes', 'owner', 'large', 'dairy', 'farm', 'adjacent', 'plant', 'finds', 'foul', 'smelling', 'herbicide', 'fumes', 'unpleasant', 'owner', 'brings', 'action', 'based', 'private', 'nuisance', 'company', 'enjoin', 'manufacture', 'paraquat', 'chemical', 'following', 'facts', 'proven', 'helpful', 'company', 'defense']",71
The GDP Deflator differs from the CPI in that the GDP Deflator,() GDP Deflator differs () () CPI () () () GDP Deflator,"['GDP', 'Deflator', 'differs', 'CPI', 'GDP', 'Deflator']",6
Da Vinci's Mona Lisa is_____.,Da Vinci () Mona Lisa is_____ (),"['Da', 'Vinci', 'Mona', 'Lisa', 'is_____']",5
"Which of the following statements is true concerning variance decomposition analysis of VARs?

i) Variance decompositions measure the impact of a unit shock to each of the variables on the VAR

ii) Variance decompositions can be thought of as measuring the proportion of the forecast error variance that is attributable to each variable

iii) The ordering of the variables is important for calculating impulse responses but not variance decompositions

iv) It is usual that most of the forecast error variance for a given variable is attributable to shocks to that variable",() () () following statements () true concerning variance () analysis () VARs () () Variance decompositions measure () impact () () unit shock () () () () variables () () VAR () () Variance decompositions () () thought () () measuring () proportion () () forecast error variance () () attributable () () variable () () () ordering () () variables () important () calculating impulse responses () () variance decompositions () () () () usual () most () () forecast error variance () () given variable () attributable () shocks () () variable,"['following', 'statements', 'true', 'concerning', 'variance', 'decomposition', 'analysis', 'VARs', 'Variance', 'decompositions', 'measure', 'unit', 'shock', 'variables', 'VAR', 'Variance', 'decompositions', 'thought', 'measuring', 'proportion', 'forecast', 'error', 'attributable', 'variable', 'ordering', 'variables', 'important', 'calculating', 'impulse', 'responses', 'variance', 'usual', 'most', 'forecast', 'error', 'given', 'variable', 'attributable', 'shocks', 'variable']",40
Papilloma viruses are characterised by what genetic feature?,Papilloma viruses () characterised () () genetic feature (),"['Papilloma', 'viruses', 'characterised', 'genetic', 'feature']",5
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate a slice of my friends tasty shoulder. Scenario 2 | I started a forest camp fire and burned some twigs and shrubs.",() () () () () scenarios () () main character () () () () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () ate () slice () () friends tasty shoulder () Scenario () () () started () forest camp fire () burned () twigs () shrubs (),"['scenarios', 'main', 'character', 'do', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'ate', 'slice', 'friends', 'tasty', 'shoulder', 'Scenario', 'started', 'forest', 'fire', 'burned', 'twigs', 'shrubs']",24
"A defendant worked as a patent attorney in a law firm. Late one evening, she left the office and walked outside to her car. While in the parking lot, she noticed a gold watch lying on the ground. When the defendant picked it up, she immediately identified the watch as belonging to one of the other lawyers in her law firm. She took it home with her, intending to return it the next day. The following morning, however, the defendant decided to keep the watch, and did so. The defendant has committed",() defendant () () () patent attorney () () law () () () () evening () () left () office () walked () () () car () () () () parking lot () () noticed () gold watch lying () () ground () () () defendant picked () () () () () identified () watch () belonging () () () () other lawyers () () law firm () () took () () () () () intending () return () () next day () () following morning () () () () defendant decided () keep () watch () () did () () () defendant () committed,"['defendant', 'worked', 'patent', 'attorney', 'law', 'firm', 'left', 'office', 'walked', 'parking', 'lot', 'gold', 'watch', 'lying', 'ground', 'defendant', 'picked', 'identified', 'watch', 'belonging', 'other', 'lawyers', 'law', 'firm', 'took', 'intending', 'return', 'next', 'day', 'following', 'morning', 'defendant', 'decided', 'keep', 'watch', 'did', 'committed']",37
"Two law students were having lunch one afternoon when the first student said to the second, ""I'm thinking of selling my car. "" The second student replied, ""I might be interested in buying your car if the price is reasonable and I can convince my parents to float me a loan. "" The first student then grabbed a piece of paper and wrote the following on it:""I will sell you my car for $1,000. In exchange for $1 received this day, I agree that you can have one month from today's date to decide whether to accept this offer. ""The first student then signed the paper and handed it to the second student. The second student handed a one dollar bill to the first student and left. One week later, the second student succeeded in obtaining a $1,000 loan from his parents. He then telephoned the first student to accept the offer. Upon hearing the second student say hello, and before the second student could accept the offer, the first student said, ""I've changed my mind. I do not want to sell my car. ""Can the second student still accept the first student's offer?",() law students () () () () afternoon () () () () () () () second () () () () thinking () selling () car () () () second student replied () () () () () interested () buying () car () () price () reasonable () () () convince () parents () float () () loan () () () first student () grabbed () piece () paper () wrote () following () () () () () () sell () () car () () () () () exchange () () () received () day () () agree () () () have () month () today () date () decide () () accept () offer () () () first student () signed () paper () handed () () () second student () () second student handed () () dollar bill () () first student () left () () week () () () second student succeeded () obtaining () () () loan () () parents () () () telephoned () first student () accept () offer () () hearing () second student say () () () () () second student () accept () offer () () first student said () () () () changed () mind () () () () want () sell () car () () () () second student () accept () first student () offer (),"['law', 'students', 'having', 'lunch', 'afternoon', 'first', 'said', 'thinking', 'selling', 'car', 'second', 'student', 'replied', 'interested', 'buying', 'car', 'price', 'reasonable', 'convince', 'float', 'loan', 'first', 'student', 'grabbed', 'piece', 'wrote', 'following', 'sell', 'car', 'exchange', 'received', 'day', 'agree', 'have', 'month', 'today', 'date', 'decide', 'accept', 'offer', 'first', 'student', 'signed', 'paper', 'handed', 'second', 'student', 'second', 'handed', 'dollar', 'bill', 'first', 'student', 'week', 'second', 'student', 'succeeded', 'obtaining', 'loan', 'parents', 'telephoned', 'first', 'student', 'accept', 'offer', 'student', 'say', 'second', 'student', 'offer', 'first', 'student', 'said', 'changed', 'mind', 'want', 'sell', 'car', 'second', 'student', 'accept', 'first', 'student', 'offer']",84
What high school does the gang from the 'Archie' comic strip attend?,() high school () () gang () () () Archie () comic strip attend (),"['high', 'school', 'gang', 'Archie', 'comic', 'strip', 'attend']",7
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.",Let () () B () sets () () () A () B () g () B () () () functions such () () () () \in A () g( f( () () () () a. Statement () () () function f () () () injective () Statement () () () function f () () () surjective (),"['Let', 'B', 'sets', 'A', 'B', 'B', 'functions', '\\in', 'A', 'g(', 'f(', 'a.', 'Statement', 'function', 'f', 'injective', 'Statement', 'function', 'f', 'surjective']",20
The most frequent chronic condition for older adults is,() () frequent chronic condition () older adults (),"['frequent', 'chronic', 'condition', 'older', 'adults']",5
" Van den Haag responds to the ""miscarriages of justice"" objection by claiming that",Van den Haag responds () () () miscarriages () justice () objection () claiming (),"['Van', 'den', 'Haag', 'responds', 'miscarriages', 'justice', 'objection', 'claiming']",8
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called into work because I didn't want to work. Scenario 2 | I called the cops on the man who hit no one",() () () () () scenarios () () main character () () uses () () () () () () () something () () wrong () () () ordinary moral standards () () US () () () () Scenario () () () called () work () () () () want () work () Scenario () () () called () cops () () man () hit () one,"['scenarios', 'main', 'character', 'uses', 'something', 'wrong', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'called', 'work', 'want', 'work', 'Scenario', 'called', 'cops', 'man', 'hit', 'one']",21
"A 37-year-old woman with right lower extremity edema is evaluated because of the sudden onset of shortness of breath and pleuritic chest pain. A diagnosis of pulmonary embolism is made. Which of the following signs, if present on physical examination, would be the most specific indicator of pulmonary arterial hypertension in this patient?",() () () year () old woman () right lower extremity edema () evaluated () () () sudden onset () shortness () breath () () () pain () () diagnosis () pulmonary embolism () made () () () () following signs () () present () physical examination () () () () () specific indicator () pulmonary arterial hypertension () () patient (),"['year', 'old', 'woman', 'right', 'lower', 'extremity', 'edema', 'evaluated', 'sudden', 'onset', 'shortness', 'breath', 'pain', 'diagnosis', 'pulmonary', 'embolism', 'made', 'following', 'signs', 'present', 'physical', 'examination', 'specific', 'pulmonary', 'arterial', 'hypertension', 'patient']",27
Hume's attack on natural law is founded on his argument that:,Hume () attack () natural law () founded () () argument () (),"['Hume', 'attack', 'natural', 'law', 'founded', 'argument']",6
Which of the following is likely to have a demand curve that is the least elastic?,() () () following () likely () have () demand curve () () () least elastic (),"['following', 'likely', 'have', 'demand', 'curve', 'least', 'elastic']",7
Find the value of the expression −25 − (−11).,Find () value () () expression () () () () () () (),"['Find', 'value', 'expression']",3
"A husband and wife had a stormy relationship. The husband, who was an alcoholic, frequently beat his wife when he became drunk. One day, the husband had been drinking beer while watching football on television. After his favorite team lost a close game, the husband went into a violent rage. As he was storming around the apartment, he suddenly grabbed his wife and led her outside to their car. He then ordered her to get inside the vehicle. The husband was driving around aimlessly when he negligently collided with another car. The other driver, who was injured in the accident, brought suit against the husband to recover damages. Thereafter, the husband retained an attorney to represent him. At his first consultation with the attorney, the husband was accompanied by his wife. During the conference, the attorney's secretary took notes of the meeting. Two weeks later, the wife separated from the husband. She then hired a lawyer to represent her in a suit against the husband for battery and false imprisonment. At the trial between the husband and the other driver, the other driver's attorney calls the wife to testify. She proposes to testify that her husband was intoxicated at the time of the accident. Upon objection by the husband's attorney, the wife's proposed testimony will most likely be",() husband () () had () () () () () husband () () () () alcoholic () () () () wife () () became drunk () () day () () husband () () drinking beer () watching football () television () () () favorite team lost () close game () () husband went () () violent rage () () () () storming () () apartment () () () grabbed () wife () led () () () () car () () () ordered () () get () () vehicle () () husband () driving () () () () () collided () () car () () other driver () () () injured () () accident () brought suit () () husband () recover damages () () () () husband retained () attorney () represent () () () () first consultation () () attorney () () husband () accompanied () () wife () () () conference () () attorney () secretary took notes () () meeting () () weeks () () () wife separated () () husband () () () hired () lawyer () represent () () () suit () () husband () battery () false imprisonment () () () trial () () husband () () other driver () () other driver () attorney calls () wife () testify () () proposes () testify () () husband () intoxicated () () time () () accident () () objection () () husband () attorney () () wife () proposed testimony () () () (),"['husband', 'had', 'stormy', 'relationship', 'husband', 'alcoholic', 'beat', 'wife', 'became', 'drunk', 'day', 'husband', 'beer', 'watching', 'football', 'television', 'favorite', 'team', 'lost', 'close', 'husband', 'went', 'violent', 'rage', 'storming', 'apartment', 'grabbed', 'wife', 'led', 'car', 'ordered', 'get', 'vehicle', 'husband', 'driving', 'collided', 'car', 'driver', 'accident', 'brought', 'suit', 'husband', 'recover', 'damages', 'husband', 'retained', 'represent', 'first', 'consultation', 'attorney', 'husband', 'accompanied', 'wife', 'conference', 'attorney', 'secretary', 'took', 'notes', 'meeting', 'weeks', 'wife', 'separated', 'husband', 'hired', 'lawyer', 'represent', 'husband', 'battery', 'false', 'imprisonment', 'trial', 'husband', 'driver', 'other', 'driver', 'attorney', 'calls', 'wife', 'testify', 'proposes', 'testify', 'husband', 'intoxicated', 'time', 'accident', 'objection', 'attorney', 'wife', 'proposed', 'testimony']",90
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hid the birthday gift in my bedroom. Scenario 2 | I invested her life savings in a high-return account.",() () () () () scenarios () () main character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () hid () birthday gift () () bedroom () Scenario () () () invested () life savings () () high () return account (),"['scenarios', 'main', 'character', 'uses', 'do', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'hid', 'birthday', 'bedroom', 'Scenario', 'invested', 'savings', 'high', 'return', 'account']",22
Which of the following is true about the assessment of arm reflexes?,() () () following () true () () assessment () arm reflexes (),"['following', 'true', 'assessment', 'arm', 'reflexes']",5
Which of these statements concerning the study of identity is not applicable to social constructivism?,() () () statements concerning () study () identity () () applicable () social constructivism (),"['statements', 'concerning', 'study', 'identity', 'applicable', 'social', 'constructivism']",7
" Kant's Universal Law formulation does not refer to an agent's wants; rather, it represents",Kant () Universal Law formulation () () refer () () agent () wants () () () () represents,"['Kant', 'Universal', 'Law', 'formulation', 'refer', 'agent', 'wants', 'represents']",8
"The Space Shuttle orbits 300 km above Earth’s surface; Earth’s radius is 6,400 km. What is the gravitational acceleration experienced by the Space Shuttle?",() Space Shuttle orbits () km () () () surface () Earth () radius () () km () () () () gravitational acceleration experienced () () Space Shuttle (),"['Space', 'Shuttle', 'orbits', 'km', 'surface', 'Earth', 'radius', 'km', 'gravitational', 'acceleration', 'experienced', 'Space', 'Shuttle']",13
"Which of the following sites has monumental earthworks with concentric ridges in a semicircle that date from around 3,500 years ago?",() () () following sites has monumental earthworks () concentric () () () semicircle () date () () () years () (),"['following', 'sites', 'has', 'monumental', 'earthworks', 'concentric', 'semicircle', 'date', 'years']",9
Which cells in the blood do not have a nucleus?,() cells () () blood () () have () nucleus (),"['cells', 'blood', 'have', 'nucleus']",4
"Which country has undergone the most rapid nutrition transition in the last two decades?
",() country () undergone () () rapid nutrition transition () () last () decades (),"['country', 'undergone', 'rapid', 'nutrition', 'transition', 'last', 'decades']",7
"In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?",() recent research () () () stories () () () accessed () Google News () () page () () day pertained () () many actual news events (),"['recent', 'research', 'stories', 'accessed', 'Google', 'News', 'page', 'day', 'pertained', 'many', 'actual', 'news', 'events']",13
"A small business estimates price elasticity of demand for the product to be 3. To raise total revenue, owners should",() () business estimates price elasticity () demand () () product () () () () () raise total revenue () owners (),"['small', 'business', 'estimates', 'price', 'elasticity', 'demand', 'product', 'total', 'revenue', 'owners']",10
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wanted to know how my sister really felt about me, so I read her diary. Scenario 2 | In order to receive a good grade, I worked hard to pay my teacher.",() () () () () () () () main character () () () () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () wanted () know () () sister () felt () () () () () read () diary () Scenario () () () order () receive () good grade () () worked () () pay () teacher (),"['scenarios', 'main', 'character', 'uses', 'do', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'wanted', 'know', 'sister', 'felt', 'read', 'diary', 'Scenario', 'order', 'receive', 'grade', 'worked', 'pay']",25
"Biologists around the world have increased efforts at conservation. Monitoring wildlife populations is important so that appropriate management efforts can be implemented, but such monitoring is often difficult. One study found a cheap and easy way to estimate the number of nesting sites of terns (a type of seabird) by monitoring the number of calls heard per minute. More calls happen when there are more birds, as one would expect. In fact, it turned out that the number of calls explained 71% of the variation in the abundance of nests between breeding sites. Which of the following statements is correct about the correlation between the number of calls and the abundance of nests?",Biologists () () world () increased () () conservation () Monitoring wildlife populations () important () () appropriate management efforts () () implemented () () such () () () () () () study found () cheap () easy way () estimate () number () nesting sites () terns () () type () seabird () () monitoring () number () calls heard () minute () More calls happen () () are more birds () () () () expect () () fact () () turned () () () number () calls explained () % () () variation () () abundance () nests () breeding sites () () () () following statements () correct () () correlation () () number () calls () () abundance () nests (),"['Biologists', 'world', 'increased', 'efforts', 'conservation', 'Monitoring', 'wildlife', 'populations', 'important', 'appropriate', 'management', 'efforts', 'implemented', 'such', 'monitoring', 'difficult', 'study', 'found', 'cheap', 'way', 'estimate', 'number', 'nesting', 'sites', 'type', 'seabird', 'monitoring', 'number', 'calls', 'More', 'calls', 'happen', 'more', 'birds', 'expect', 'fact', 'turned', 'number', 'calls', 'explained', '%', 'variation', 'abundance', 'nests', 'breeding', 'sites', 'following', 'statements', 'correct', 'correlation', 'number', 'calls', 'abundance', 'nests']",54
"Which of the following statements is correct concerning the ""reasonable person"" standard in tort law?",() () () following statements () correct concerning () () reasonable person () standard () tort law (),"['following', 'statements', 'correct', 'concerning', 'reasonable', 'person', 'standard', 'tort', 'law']",9
Urban agriculture can benefit urban society in all of the following ways EXCEPT,Urban agriculture () benefit urban society () () () () following ways (),"['Urban', 'agriculture', 'benefit', 'urban', 'society', 'following', 'ways']",7
Which among the following prevents overfitting when we perform bagging?,() () () following prevents overfitting () () perform bagging (),"['following', 'prevents', 'overfitting', 'perform', 'bagging']",5
 Economic—marketing should encourage long-term economic development as opposed to short-term economic development.,Economic () marketing () () long () term economic development () opposed () short () term economic development (),"['Economic', 'marketing', 'long', 'term', 'economic', 'development', 'opposed', 'short', 'term', 'economic', 'development']",11
"Apart from the fact that it is ""not a nice thing to do"", what is an important ethical disadvantage of deceiving participants?",() () () fact () () () () () () nice thing () do () () () () () important ethical disadvantage () deceiving participants (),"['fact', 'nice', 'thing', 'do', 'important', 'ethical', 'disadvantage', 'deceiving', 'participants']",9
"A man conveys to his wife's cousin a property to ""cousin and the heirs of his body."" He then conveys the same property to his niece in fee simple. Under modern real estate laws and practice in most states today, what interest if any does his niece have?",() man () () () wife () cousin () property () () () () () heirs () () body () () () () conveys () same property () () niece () fee simple () () modern real estate laws () practice () most states today () () interest () () () () niece have (),"['man', 'conveys', 'wife', 'cousin', 'property', 'heirs', 'body', 'conveys', 'property', 'niece', 'fee', 'simple', 'modern', 'real', 'estate', 'laws', 'practice', 'most', 'states', 'today', 'interest', 'niece', 'have']",23
Which of the following statements concerning a sarcomere of a striated muscle (such as skeletal muscle) is correct?,() () () following () concerning () sarcomere () () striated muscle () such () skeletal muscle () () correct (),"['following', 'concerning', 'sarcomere', 'striated', 'muscle', 'such', 'skeletal', 'muscle', 'correct']",9
"The development of civilization in Mesopotamia is associated with the _______, during the ______.",() development () civilization () Mesopotamia () associated () () () () () () () (),"['development', 'civilization', 'Mesopotamia', 'associated']",4
 Which Jaina group only allows women to lead a life of semi-renunciation?,() Jaina group () allows women () lead () life () semi-renunciation (),"['Jaina', 'group', 'allows', 'women', 'lead', 'life', 'semi-renunciation']",7
"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by",() researcher mailed () questionnaires () () () () labor union () received () back () Most () () () returned () questionnaires indicated () () () dissatisfied () () union () Results based () () () returned questionnaires () () () contaminated (),"['researcher', 'mailed', 'questionnaires', 'labor', 'union', 'received', 'back', 'Most', 'returned', 'questionnaires', 'indicated', 'dissatisfied', 'union', 'Results', 'based', 'returned', 'questionnaires', 'contaminated']",18
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
M ∨ N
~M · O / N",Construct () complete truth () () () following argument () () () using () truth table () determine () () argument () valid () invalid () () () argument () invalid () choose () option () presents () counterexample () () () () be other counterexamples () () () () M () N () M () O () N,"['Construct', 'complete', 'truth', 'table', 'following', 'argument', 'using', 'truth', 'table', 'determine', 'argument', 'valid', 'invalid', 'argument', 'invalid', 'option', 'presents', 'counterexample', 'be', 'other', 'counterexamples', 'M', 'N', 'M', 'N']",25
In all-out exercise such as sprinting the first fibre types to fatigue are the:,() () () () exercise such () sprinting () first fibre types () fatigue () () (),"['exercise', 'such', 'sprinting', 'first', 'fibre', 'types', 'fatigue']",7
Which of the following is not a recognized complication of cystic fibrosis?,() () () following () () () recognized complication () cystic fibrosis (),"['following', 'recognized', 'complication', 'cystic', 'fibrosis']",5
" According to the British Government, which of the following is not a marketing function?",According () () British Government () () () () following () () () marketing function (),"['According', 'British', 'Government', 'following', 'marketing', 'function']",6
"A defendant was prosecuted for murder. At trial, the prosecutor called a police detective to testify. The detective, who questioned the defendant at the station house after his arrest, testified that the defendant initially declared his innocence. The detective further testified that when given the opportunity to take a lie detector test, the defendant refused. The defendant's attorney did not object to the detective's testimony. The defendant was convicted and sentenced to prison. The defendant, who is now represented by a new attorney, appeals, claiming that it was error to admit the detective's testimony. The appellate court should find",() () () () () murder () () trial () () prosecutor called () police detective () testify () () detective () () questioned () defendant () () station house () () arrest () testified () () defendant () declared () innocence () () detective () testified () () given () opportunity () take () lie detector test () () defendant refused () () defendant () attorney () () object () () detective () testimony () () defendant () convicted () sentenced () prison () () defendant () () () () represented () () new attorney () appeals () claiming () () () error () admit () detective () testimony () () appellate court () find,"['defendant', 'prosecuted', 'murder', 'prosecutor', 'called', 'police', 'detective', 'testify', 'detective', 'questioned', 'station', 'house', 'arrest', 'testified', 'defendant', 'declared', 'innocence', 'detective', 'given', 'opportunity', 'take', 'lie', 'detector', 'test', 'defendant', 'refused', 'attorney', 'object', 'testimony', 'defendant', 'convicted', 'sentenced', 'prison', 'defendant', 'represented', 'new', 'attorney', 'appeals', 'claiming', 'error', 'admit', 'detective', 'testimony', 'appellate', 'court', 'find']",46
On average what length of time passes between high tides?,() average () length () time passes () high tides (),"['average', 'length', 'time', 'passes', 'high', 'tides']",6
 The way in which the product is delivered to meet the customers' needs refers to:,() way () () () product () delivered () meet () customers () needs refers () (),"['way', 'product', 'delivered', 'meet', 'customers', 'needs', 'refers']",7
 Which of the following is one of de Marneffe's responses to the objection that drug prohibition would be paternalistic?,() () () following () () () de Marneffe () responses () () objection () drug prohibition () () paternalistic (),"['following', 'de', 'Marneffe', 'responses', 'objection', 'drug', 'prohibition', 'paternalistic']",8
"Tara can develop 2 rolls of film in about 18 minutes. At this rate, how long will it take her to develop 8 rolls of film?",Tara () develop () () () film () () () minutes () () () rate () () () () () take () () develop () rolls () film (),"['Tara', 'develop', 'film', 'minutes', 'rate', 'take', 'develop', 'rolls', 'film']",9
"Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe
",() () () following () true () () diagnosis () () osteopenia () () () osteoporosis () () North America () Western Europe,"['following', 'true', 'diagnosis', 'osteopenia', 'osteoporosis', 'North', 'America', 'Western', 'Europe']",9
Which of the following is the best example of a categorical variable?,() () () following () () best example () () categorical variable (),"['following', 'best', 'example', 'categorical', 'variable']",5
A motor and a generator are,() motor () () generator (),"['motor', 'generator']",2
Which of the following is the most common naturally-occurring form in which silicon is found?,() () () following () () () common () () occurring form () () silicon () found (),"['following', 'common', 'occurring', 'form', 'silicon', 'found']",6
