original_question,masked_question,generated_question,matched,similarity_score
"Bill wants to make a fortune while sailing in the Caribbean, what should he look for?",Bill wants () make () fortune () sailing () () Caribbean () () () () look () (),Question: Bill wants to make a fortune by sailing in the Caribbean. How does he look for opportunities?,False,76
If you have plenty to eat when you have lunch you'll do what?,() () have plenty () eat () () have lunch () () do () (),Question: Do you have plenty to eat before you have lunch and what do you do after?,False,67
James was an American horse. He thought his home was too hot.  Where might he have lived?,James () () American horse () () thought () home () () hot () () () () () lived (),Question: James rode an American horse that thought about home on a hot day where he lived?,False,68
"The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?",() person () glad () () father () helped () () () () father () () () () () () () () () (),Question: Was the person feeling glad that their father helped them with (these) tasks?,False,55
What does the D in DRC stand for?,() () () D () DRC stand () (),Question: What does the acronym DRC stand for?,False,76
After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?,() () long day () teaching () () afternoon () grading homework () teacher () hungry () () began () () (),"Question: How was your long day of teaching this afternoon, grading homework? As a teacher, did you feel hungry when it began?",False,66
"James spent his days at his cottage trying to capture the beauty of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?",James spent () () () () cottage trying () capture () beauty () () landscape () () () () () good () () () () () () good () () () () () () () good () (),Question: James spent time at the cottage trying to capture the beauty of the landscape. Did he manage to take any good photographs?,False,62
Where is a good place for a safabed to be so it can also be used for seating?,() () () good place () () safabed () () () () () () () used () seating (),Question: Is this a good place with comfortable seating that can be used for relaxation?,False,61
Where are things sometimes organized by a card catalog?,() () things () organized () () card catalog (),Question: How are things organized in a card catalog?,False,72
Where are you when an employee brings you cooked potatoes?,() () () () () employee brings () cooked potatoes (),Question: How many employees bring freshly cooked potatoes daily?,False,63
"Jeremy is mastering a music scale, where should he find books on the matter?",Jeremy () mastering () music scale () () () () find books () () matter (),Question: Jeremy is mastering which music scale to find books on the matter?,False,79
What would a person do to help someone that is not able to speak coherently?,() () () person do () help someone () () () able () speak () (),Question: What can a kind person do to help someone who is unable to speak?,False,72
What would you put a spoon into after you finish eating?,() () () put () spoon () () () finish eating (),Question: How do you put a spoon down after finishing eating soup?,False,70
Where does something get weighed on a scale in order to determine a price?,() () something () weighed () () scale () order () determine () price (),Question: How do you something that weighed on a scale in order to determine the price?,True,81
If the though of performing makes you anxious what do you suffer from?,() () () () performing makes () anxious () () () suffer () (),Question: What performing makes you anxious and suffer?,False,67
What is a reason to pay your television bill?,() () () reason () pay () television bill (),Question: What is the reason for not paying the television bill?,False,72
"If a couple is having financial issues, buying products can lead to what?",() () couple () having financial issues () buying products () lead () () (),Question: Is this couple currently having financial issues while buying products that could lead to (trouble)?,False,69
"After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?",() () guilty verdict () () killing () judge gave () speech () () told () murderer () () pure () (),"Question: Did the jury deliver a guilty verdict for the killing, and what did the judge say in the speech when they addressed the murderer as pure?",False,65
"Matt had issues controlling his anger, what did he do when someone set him off?",Matt had issues controlling () anger () () () () do () someone set () () (),Question: Matt had issues controlling his anger. How did he do when someone set him off?,True,90
What can help you with an illness?,() () help () () () illness (),Can you help someone suffering from a sudden illness?,False,53
Where will a bullet projectile be found during a war?,() () () bullet projectile () found () () war (),Question: What type of bullet projectile is found during war?,False,72
"She was playing violin with the hope of recording it someday, what did she want to do with her talent?",() () playing violin () () hope () recording () () () () () () want () do () () talent (),Question: Are you currently playing violin and do you hope to record what you want to do with your talent?,False,62
What might be the result of a season of successful skiing?,() () () () result () () season () successful skiing (),Question: Was the end result of the season a successful skiing experience?,False,67
"Working in the vegetable garden everyday is good for you, you get to spend time where?",Working () () vegetable garden everyday () good () () () () get () spend time () (),Question: Working in a vegetable garden everyday is good for what reasons and how does it help you get to spend time doing what?,False,72
What type of water transportation is human powered?,() type () water transportation () human powered (),Question: What type of water transportation is human powered?,True,91
"If you saw a fish break the surface of the water and flap its fins in the air, you might think it is doing what?",() () saw () fish break () surface () () water () flap () fins () () air () () () think () () () () (),Question: Have you ever saw a fish break the surface of the water and flap its fins in the air? What do you think about it?,False,77
Where might you find a computer user that is visiting a foreign city and didn't bring their own computer along?,() () () find () computer user () () visiting () foreign city () () () bring () own computer () (),Question: How can find a computer user when visiting a foreign city and bring their own computer?,False,77
When you're getting drunk and stumbling what might you be feeling?,() () () getting drunk () stumbling () () () () feeling (),Question: Have you ever regretted getting drunk and stumbling around feeling (unwell)?,False,64
"The man was sick of secular consumerism, what life did he seek instead?",() man () sick () secular consumerism () () life () () seek () (),Question: What man embraces sick of secular consumerism in life and seeks what?,False,69
Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?,Joe learned () relaxing exercises () () therapist () () () centered () () sort () action (),Question: Joe learned some relaxing exercises from his therapist that centered around what sort of action?,True,90
James turned on his computer and the monitor lit on the room.  What might his body do as he stands there?,James turned () () computer () () monitor lit () () room () () () () body do () () stands () (),Question: James turned on his computer and the monitor lit up the room. What does his body do when he stands up?,True,83
If an insurance adjuster finds your claim incorrect they will do what?,() () insurance adjuster finds () claim incorrect () () do () (),"Question: When an insurance adjuster finds a claim incorrect, what do they do next?",False,73
Bill loved riding his bike and did it all the time.  He had trouble going up hills and sometimes pushed himself to the point of what?,Bill () riding () bike () did () () () time () () had trouble going () hills () () pushed () () () point () () (),"Question: Bill enjoyed riding his bike but did he have a hard time and had trouble going up hills, so he pushed himself to the point of exhaustion?",False,76
"After I urinate and flush the toilet and wash my hands, what should I do next?",() () urinate () flush () toilet () wash () hands () () () () do () (),"Question: How often do you urinate, flush the toilet, wash your hands, and what else do you do?",False,64
