original_question,masked_question,generated_question,matched,similarity_score
What high school does the gang from the 'Archie' comic strip attend?,() high school () () gang () () () Archie () comic strip attend (),"Question: Which high school group of friends, including Archie Andrews, from the comic strip attend Riverdale High School?",False,54
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.",Let () () B () sets () () () A () B () g () B () () () functions such () () () () \in A () g( f( () () () () a. Statement () () () function f () () () injective () Statement () () () function f () () () surjective (),"Question: Let (X) and (Y) be sets, with (f: X -> Y) and (g: Y -> X) functions. If (a) \in X, g(f(a)) = a. Statement (i): The function f is injective. Statement (ii): The function f is surjective.",False,72
The most frequent chronic condition for older adults is,() () frequent chronic condition () older adults (),Question: How common is the frequent chronic condition among older adults?,False,68
" Van den Haag responds to the ""miscarriages of justice"" objection by claiming that",Van den Haag responds () () () miscarriages () justice () objection () claiming (),Question: Van den Haag responds to what by claiming what about miscarriages of justice and objection?,False,68
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called into work because I didn't want to work. Scenario 2 | I called the cops on the man who hit no one",() () () () () scenarios () () main character () () uses () () () () () () () something () () wrong () () () ordinary moral standards () () US () () () () Scenario () () () called () work () () () () want () work () Scenario () () () called () cops () () man () hit () one,Question: In which scenarios does the main character use something wrong according to ordinary moral standards in the US? Scenario (s) called (s) work (s) you want to work. Scenario (s) called (s) cops (s) man hit one.,False,45
"A 37-year-old woman with right lower extremity edema is evaluated because of the sudden onset of shortness of breath and pleuritic chest pain. A diagnosis of pulmonary embolism is made. Which of the following signs, if present on physical examination, would be the most specific indicator of pulmonary arterial hypertension in this patient?",() () () year () old woman () right lower extremity edema () evaluated () () () sudden onset () shortness () breath () () () pain () () diagnosis () pulmonary embolism () made () () () () following signs () () present () physical examination () () () () () specific indicator () pulmonary arterial hypertension () () patient (),"Question: How does a 45-year-old woman with right lower extremity edema get evaluated for sudden onset of shortness of breath and chest pain, leading to a diagnosis of pulmonary embolism, when the following signs are present on physical examination, including a specific indicator of pulmonary arterial hypertension in the patient?",False,32
Hume's attack on natural law is founded on his argument that:,Hume () attack () natural law () founded () () argument () (),Question: Hume's critique of natural law theory is founded on which argument?,False,70
Which of the following is likely to have a demand curve that is the least elastic?,() () () following () likely () have () demand curve () () () least elastic (),Question: What following factors are likely to have a demand curve at least elastic?,False,76
Find the value of the expression −25 − (−11).,Find () value () () expression () () () () () () (),Question: Find the value of this expression using parentheses.,False,64
"A husband and wife had a stormy relationship. The husband, who was an alcoholic, frequently beat his wife when he became drunk. One day, the husband had been drinking beer while watching football on television. After his favorite team lost a close game, the husband went into a violent rage. As he was storming around the apartment, he suddenly grabbed his wife and led her outside to their car. He then ordered her to get inside the vehicle. The husband was driving around aimlessly when he negligently collided with another car. The other driver, who was injured in the accident, brought suit against the husband to recover damages. Thereafter, the husband retained an attorney to represent him. At his first consultation with the attorney, the husband was accompanied by his wife. During the conference, the attorney's secretary took notes of the meeting. Two weeks later, the wife separated from the husband. She then hired a lawyer to represent her in a suit against the husband for battery and false imprisonment. At the trial between the husband and the other driver, the other driver's attorney calls the wife to testify. She proposes to testify that her husband was intoxicated at the time of the accident. Upon objection by the husband's attorney, the wife's proposed testimony will most likely be",() husband () () had () () () () () husband () () () () alcoholic () () () () wife () () became drunk () () day () () husband () () drinking beer () watching football () television () () () favorite team lost () close game () () husband went () () violent rage () () () () storming () () apartment () () () grabbed () wife () led () () () () car () () () ordered () () get () () vehicle () () husband () driving () () () () () collided () () car () () other driver () () () injured () () accident () brought suit () () husband () recover damages () () () () husband retained () attorney () represent () () () () first consultation () () attorney () () husband () accompanied () () wife () () () conference () () attorney () secretary took notes () () meeting () () weeks () () () wife separated () () husband () () () hired () lawyer () represent () () () suit () () husband () battery () false imprisonment () () () trial () () husband () () other driver () () other driver () attorney calls () wife () testify () () proposes () testify () () husband () intoxicated () () time () () accident () () objection () () husband () attorney () () wife () proposed testimony () () () (),"Question: What happened when the husband, who had a history of being an alcoholic, became drunk one day while watching football on television, and then went into a violent rage, storming the apartment, grabbing his wife, leading her to the car, ordering her to get into the vehicle, and driving recklessly until colliding with another car, resulting in injuries in the accident that led to a lawsuit for damages, where the husband retained an attorney for representation, and during the first consultation, the husband, accompanied by his wife, met with the attorney and the attorney's secretary took notes, and weeks later, the wife separated from her husband and hired a lawyer to represent her in the suit for battery and false imprisonment, and during the trial, the husband and the other driver, along with their attorneys, called the wife to testify, and the other driver's attorney proposed for her to testify that the husband was intoxicated at the time of the accident, leading to an objection from the husband's attorney to the wife's proposed testimony?",False,2
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hid the birthday gift in my bedroom. Scenario 2 | I invested her life savings in a high-return account.",() () () () () scenarios () () main character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () hid () birthday gift () () bedroom () Scenario () () () invested () life savings () () high () return account (),"Question: Can you think of scenarios where the main character uses their resources to do something morally wrong according to ordinary moral standards in the US? For example, in Scenario 1, they hid a birthday gift in their bedroom. In Scenario 2, they invested their life savings in a high return account.",False,19
Which of the following is true about the assessment of arm reflexes?,() () () following () true () () assessment () arm reflexes (),Question: Are the following statements true regarding the assessment of arm reflexes?,False,75
Which of these statements concerning the study of identity is not applicable to social constructivism?,() () () statements concerning () study () identity () () applicable () social constructivism (),Question: Are statements concerning the study of identity applicable to social constructivism?,True,86
" Kant's Universal Law formulation does not refer to an agent's wants; rather, it represents",Kant () Universal Law formulation () () refer () () agent () wants () () () () represents,Question: Kant's Universal Law formulation can refer to an agent who wants what represents?,True,80
"The Space Shuttle orbits 300 km above Earth’s surface; Earth’s radius is 6,400 km. What is the gravitational acceleration experienced by the Space Shuttle?",() Space Shuttle orbits () km () () () surface () Earth () radius () () km () () () () gravitational acceleration experienced () () Space Shuttle (),"Question: How many kilometers does the Space Shuttle orbit above the surface of Earth, considering the radius of Earth and the gravitational acceleration experienced by the Space Shuttle?",False,71
"Which of the following sites has monumental earthworks with concentric ridges in a semicircle that date from around 3,500 years ago?",() () () following sites has monumental earthworks () concentric () () () semicircle () date () () () years () (),Which following sites has monumental earthworks with concentric circles in a semicircle dating back thousands of years?,True,80
Which cells in the blood do not have a nucleus?,() cells () () blood () () have () nucleus (),Question: Which cells in the blood do not have a nucleus?,True,90
"Which country has undergone the most rapid nutrition transition in the last two decades?
",() country () undergone () () rapid nutrition transition () () last () decades (),Question: Which country has undergone a rapid nutrition transition in the last few decades?,True,87
"In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?",() recent research () () () stories () () () accessed () Google News () () page () () day pertained () () many actual news events (),Question: What recent research findings or stories have been accessed through Google News in the past day pertained to how many actual news events?,False,75
"A small business estimates price elasticity of demand for the product to be 3. To raise total revenue, owners should",() () business estimates price elasticity () demand () () product () () () () () raise total revenue () owners (),Question: How does business estimates price elasticity of demand for a product to raise total revenue for owners?,False,79
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wanted to know how my sister really felt about me, so I read her diary. Scenario 2 | In order to receive a good grade, I worked hard to pay my teacher.",() () () () () () () () main character () () () () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () wanted () know () () sister () felt () () () () () read () diary () Scenario () () () order () receive () good grade () () worked () () pay () teacher (),Question: What did the main character do wrong according to ordinary moral standards in the US scenario when they wanted to know how their sister felt by reading her diary in order to receive a good grade they worked to pay the teacher?,False,25
"Biologists around the world have increased efforts at conservation. Monitoring wildlife populations is important so that appropriate management efforts can be implemented, but such monitoring is often difficult. One study found a cheap and easy way to estimate the number of nesting sites of terns (a type of seabird) by monitoring the number of calls heard per minute. More calls happen when there are more birds, as one would expect. In fact, it turned out that the number of calls explained 71% of the variation in the abundance of nests between breeding sites. Which of the following statements is correct about the correlation between the number of calls and the abundance of nests?",Biologists () () world () increased () () conservation () Monitoring wildlife populations () important () () appropriate management efforts () () implemented () () such () () () () () () study found () cheap () easy way () estimate () number () nesting sites () terns () () type () seabird () () monitoring () number () calls heard () minute () More calls happen () () are more birds () () () () expect () () fact () () turned () () () number () calls explained () % () () variation () () abundance () nests () breeding sites () () () () following statements () correct () () correlation () () number () calls () () abundance () nests (),"Question: Biologists around the world have increased their efforts in conservation. Monitoring wildlife populations is important for appropriate management efforts to be implemented. Is there such a study that found a cheap and easy way to estimate the number of nesting sites for terns, a type of seabird, by monitoring the number of calls heard per minute? More calls happen when there are more birds than we would expect. In fact, it turned out that the number of calls explained 70% of the variation in the abundance of nests at breeding sites. Which of the following statements is correct regarding the correlation between the number of calls and the abundance of nests?",False,33
"Which of the following statements is correct concerning the ""reasonable person"" standard in tort law?",() () () following statements () correct concerning () () reasonable person () standard () tort law (),Question: Are the following statements 9 correct concerning the 9 reasonable person 9 standard in tort law?,True,88
Urban agriculture can benefit urban society in all of the following ways EXCEPT,Urban agriculture () benefit urban society () () () () following ways (),Question: Urban agriculture can benefit urban society in the following ways: (list the 6 benefits),False,75
Which among the following prevents overfitting when we perform bagging?,() () () following prevents overfitting () () perform bagging (),Question: What method following prevents overfitting and helps perform bagging?,False,76
 Economic—marketing should encourage long-term economic development as opposed to short-term economic development.,Economic () marketing () () long () term economic development () opposed () short () term economic development (),Question: Economic growth supports marketing strategies for long-term economic development as opposed to short-term economic development.,True,81
"Apart from the fact that it is ""not a nice thing to do"", what is an important ethical disadvantage of deceiving participants?",() () () fact () () () () () () nice thing () do () () () () () important ethical disadvantage () deceiving participants (),Question: What is the fact that a nice thing to do has an important ethical disadvantage of deceiving participants?,True,84
"A man conveys to his wife's cousin a property to ""cousin and the heirs of his body."" He then conveys the same property to his niece in fee simple. Under modern real estate laws and practice in most states today, what interest if any does his niece have?",() man () () () wife () cousin () property () () () () () heirs () () body () () () () conveys () same property () () niece () fee simple () () modern real estate laws () practice () most states today () () interest () () () () niece have (),"Question: How does a man transfer property to his wife, cousin, heirs, and niece in fee simple according to modern real estate laws practiced in most states today?",False,50
Which of the following statements concerning a sarcomere of a striated muscle (such as skeletal muscle) is correct?,() () () following () concerning () sarcomere () () striated muscle () such () skeletal muscle () () correct (),"Question: What are the key concepts following discussions concerning the sarcomere structure in striated muscle, such as skeletal muscle, to ensure a correct understanding?",False,67
"The development of civilization in Mesopotamia is associated with the _______, during the ______.",() development () civilization () Mesopotamia () associated () () () () () () () (),Question: What development of civilization in Mesopotamia is associated with which specific advancements or characteristics?,False,63
 Which Jaina group only allows women to lead a life of semi-renunciation?,() Jaina group () allows women () lead () life () semi-renunciation (),Question: Which Jaina group allows women to lead a life of semi-renunciation?,True,91
"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by",() researcher mailed () questionnaires () () () () labor union () received () back () Most () () () returned () questionnaires indicated () () () dissatisfied () () union () Results based () () () returned questionnaires () () () contaminated (),Question: How many researcher mailed the questionnaires to the labor union and how many received them back? Most of the returned questionnaires indicated that the members were dissatisfied with the union. Results based on the returned questionnaires might be contaminated.,False,16
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
M ∨ N
~M · O / N",Construct () complete truth () () () following argument () () () using () truth table () determine () () argument () valid () invalid () () () argument () invalid () choose () option () presents () counterexample () () () () be other counterexamples () () () () M () N () M () O () N,"Question: Construct a complete truth table following the argument using the truth table to determine if the argument is valid or invalid. If the argument is invalid, choose an option that presents a counterexample. There may be other counterexamples where M is true, N is true, M is false, and O is true.",False,41
In all-out exercise such as sprinting the first fibre types to fatigue are the:,() () () () exercise such () sprinting () first fibre types () fatigue () () (),Question: How does high-intensity exercise such as sprinting affect the first fibre types in terms of fatigue?,False,68
Which of the following is not a recognized complication of cystic fibrosis?,() () () following () () () recognized complication () cystic fibrosis (),Question: What are the following recognized complications of cystic fibrosis?,True,80
" According to the British Government, which of the following is not a marketing function?",According () () British Government () () () () following () () () marketing function (),"Question: According to the British Government, what comes after following the marketing function?",True,83
"A defendant was prosecuted for murder. At trial, the prosecutor called a police detective to testify. The detective, who questioned the defendant at the station house after his arrest, testified that the defendant initially declared his innocence. The detective further testified that when given the opportunity to take a lie detector test, the defendant refused. The defendant's attorney did not object to the detective's testimony. The defendant was convicted and sentenced to prison. The defendant, who is now represented by a new attorney, appeals, claiming that it was error to admit the detective's testimony. The appellate court should find",() () () () () murder () () trial () () prosecutor called () police detective () testify () () detective () () questioned () defendant () () station house () () arrest () testified () () defendant () declared () innocence () () detective () testified () () given () opportunity () take () lie detector test () () defendant refused () () defendant () attorney () () object () () detective () testimony () () defendant () convicted () sentenced () prison () () defendant () () () () represented () () new attorney () appeals () claiming () () () error () admit () detective () testimony () () appellate court () find,"Question: Did the murder trial prosecutor called the police detective to testify? The detective questioned the defendant at the station house after the arrest. The defendant testified and declared innocence, but the detective testified that given the opportunity to take a lie detector test, the defendant refused. The defendant's attorney did not object to the detective's testimony. As a result, the defendant was convicted and sentenced to prison. The defendant is now represented by a new attorney on appeals, claiming a legal error in admitting the detective's testimony. Will the appellate court find...?",False,42
On average what length of time passes between high tides?,() average () length () time passes () high tides (),Question: What is the average length of time passes between high tides?,True,80
 The way in which the product is delivered to meet the customers' needs refers to:,() way () () () product () delivered () meet () customers () needs refers () (),Question: In what way is the product delivered to meet the customers' needs refers to what?,True,80
 Which of the following is one of de Marneffe's responses to the objection that drug prohibition would be paternalistic?,() () () following () () () de Marneffe () responses () () objection () drug prohibition () () paternalistic (),Question: What are the key points following John de Marneffe's responses to objections against drug prohibition being considered paternalistic?,False,73
"Tara can develop 2 rolls of film in about 18 minutes. At this rate, how long will it take her to develop 8 rolls of film?",Tara () develop () () () film () () () minutes () () () rate () () () () () take () () develop () rolls () film (),Question: Tara wants to develop a roll of film that usually takes 20 minutes at a rate of 1 roll per minute. How long will it take her to develop 20 rolls of film?,False,71
"Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe
",() () () following () true () () diagnosis () () osteopenia () () () osteoporosis () () North America () Western Europe,Question: What are the following terms true for in the diagnosis of osteopenia and osteoporosis in North America and Western Europe?,True,82
Which of the following is the best example of a categorical variable?,() () () following () () best example () () categorical variable (),Question: What is the following best example of a categorical variable?,True,81
A motor and a generator are,() motor () () generator (),Question: What are the two main components of an electric motor and generator?,False,38
Which of the following is the most common naturally-occurring form in which silicon is found?,() () () following () () () common () () occurring form () () silicon () found (),Question: What is the following most common naturally occurring form of silicon found?,False,77
"A defendant was charged with murder. The killing took place on February 1. At the time that the crime occurred, this jurisdiction required a unanimous verdict of all 12 jury members for a conviction on a capital offense. On November 1, the state legislature enacted a new law requiring a majority vote of seven of 12 jurors to convict on a capital offense. The defendant's trial began on December 1. He was subsequently convicted of murder by an eight- to-four vote. Following the trial, the defendant's attorney filed a motion to set aside the verdict. Which of the following would provide the strongest constitutional grounds to overturn the verdict?",() () () charged () murder () () killing took place () February () () () () time () () crime occurred () () jurisdiction required () unanimous verdict () () () jury members () () conviction () () capital offense () () November () () () state legislature enacted () new law requiring () majority vote () () () () jurors () convict () () capital offense () () defendant () trial began () December () () () () () convicted () murder () () () () () () () vote () Following () trial () () defendant () attorney filed () motion () set () () verdict () () () () following () provide () strongest constitutional grounds () overturn () verdict (),"Question: What charged murder killing took place in February? What time crime occurred and which jurisdiction required a unanimous verdict from jury members for conviction of a capital offense? In November, which state legislature enacted a new law requiring a majority vote from jurors to convict for a capital offense? When did the defendant's trial begin after being convicted of murder by a vote? Following the trial, the defendant's attorney filed a motion to set aside the verdict on what grounds?",False,21
"A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a convalescent home on land he owned in a city within the state. While the application was pending, the city charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the real estate developer's subsequent application for approval for a proposed home on the grounds was rejected because the rezoning action had not been submitted to a referendum. In an action brought in state court seeking a judgment declaring the city charter amendment invalid, the court will most likely declare the amendment",() state () constitution () () () people () () () () () state () power () referendum () respect () () questions () () municipality () () () () () legislation () () real estate developer applied () () zoning change () permit construction () () convalescent home () land () owned () () city () () state () () () application () pending () () city charter () amended () popular vote () () () require () () changes () land use agreed () () () city council () approved () () () % vote () () referendum () () city planning commission () () city council () approved () proposed zoning change () () () () real estate developer () subsequent application () approval () () proposed home () () grounds () rejected () () rezoning action () () () submitted () () referendum () () () action brought () state court seeking () judgment declaring () city charter amendment invalid () () court () () () declare () amendment,"Question: In which state's constitution do the people have the power to initiate a referendum in respect to questions related to municipality legislation, where a real estate developer applied for a zoning change to permit construction of a convalescent home on land owned by the city, with the state's application pending until the city charter is amended by popular vote to require any changes in land use to be agreed upon by the city council, approved by a % vote in a referendum, and then the city planning commission and city council approved the proposed zoning change, but the real estate developer's subsequent application for approval of the proposed home on the same grounds was rejected, leading to a rezoning action being submitted for a referendum, and an action brought in state court seeking a judgment declaring the city charter amendment invalid, but the court refused to declare the amendment?",False,8
Weber defined a 'class situation' as:,Weber defined () () class situation () () (),Question: Weber defined social class situation in society?,False,69
"A child is frightened by the sudden barking of a neighbor's dog. Once her mother picks her up, the child begins to calm down as which of the following biological processes occurs?",() child () frightened () () sudden barking () () neighbor () () () () () mother picks () () () () child begins () calm () () () () () following biological processes occurs (),Question: Is the child feeling frightened by the sudden barking of the neighbor's dog when the mother picks up the child and the child begins to calm down? What biological processes occur next?,False,76
