Unnamed: 0,question,full_answer,masked_question,masked_word_answer,answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
10,"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?","First find the total number of times the cost is halved: 30 years / 10 years/halving = 3 halvings
Then halve the cost once: $1,000,000 / 2 = $<<1000000/2=500000>>500,000
Then halve the cost a second time: $500,000 / 2 = $<<500000/2=250000>>250,000
Then halve the cost a third time: $250,000 / 2 = $<<250000/2=125000>>125,000
#### 125000","When Matty was born, the cost of a () to Mars was $1,000,000. The cost is halved every 10 years. How much will a () cost when Matty is 30?",ticket,125000,,,Seen Q,True,ticket
11,"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?","Beth and Jan scored a total of 12 + 10 = <<12+10=22>>22.
Judy and Angel scored a total of 8 + 11 = <<8+11=19>>19.
Thus, the first team scores 22 - 19 = <<22-19=3>>3 more points than the second team.
#### 3","In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more () did the first team get than the second team?",points,3,,,Seen Q,True,points
12,Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly sandwiches did he eat for lunch this school year?,"36 weeks of school x 2 days of the week = <<36*2=72>>72 days of school
1 Wednesday + 2 Fridays = <<1+2=3>>3 days of school missed
72 days of school – 3 days of school missed = <<72-3=69>>69 peanut butter and jelly sandwiches eaten
#### 69",Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly () did he eat for lunch this school year?,sandwiches,69,,,Seen Q,True,sandwiches
13,"Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of gummies which cost $2 each. If she has $15, how much was she left with after spending on the candies?","She spent 4 x $1.50 = $<<4*1.5=6>>6 for the lollipops.
She also spent 2 x $2 = $<<2*2=4>>4 for the gummies.
Therefore, Chastity was left with $15 - $10 = $<<15-10=5>>5
#### 5","Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of () which cost $2 each. If she has $15, how much was she left with after spending on the candies?",gummies,5,"['4', '15', 'Chastity', 'lollipops', 'how', 'much', 'left', 'spending']","Chastity was determined to stick to her budget while shopping for lollipops at the store. She carefully checked the price tags and calculated how much she had already spent. With only 4 lollipops left to purchase, she wondered how much she had left to spend to stay within her budget of $15. Determined to maintain her financial discipline, Chastity carefully considered her options before making her final purchase.",,False,gum
14,"The local school is holding a big fair to raise money for 5 classes that want to go on a trip. 150 people came to the party and paid a total of $368 for entrance tickets. There was a raffle which brought in $343. The sale of cakes and drinks brought $279. At the end of the fair, the principal of the school shared the money raised between the 5 classes. How much money did each class receive?","First, let’s calculate the total amount of money collected, which is 368 + 343 + 279 = $<<368+343+279=990>>990.
Let us now share this sum between the 5 classes: 990 / 5 = $<<990/5=198>>198.
#### 198","The local school is holding a big fair to raise money for 5 classes that want to go on a trip. 150 people came to the party and paid a total of $368 for () tickets. There was a raffle which brought in $343. The sale of cakes and drinks brought $279. At the end of the fair, the principal of the school shared the money raised between the 5 classes. How much money did each class receive?",entrance,198,"['5', '343', '5', 'big fair', 'local', 'holding', 'fair', 'raise', 'classes', 'want', 'go', 'people', 'party', 'paid', 'tickets', 'brought', 'sale', 'end', 'shared', 'raised', 'class']","The local community is abuzz with excitement as the annual big fair approaches. This year, the organizers are holding a special event to raise funds for local classes in need. To encourage more people to attend, they want to go big with the fair, offering a variety of attractions and activities for all ages. Tickets for the fair are being sold in advance, with the end goal of raising $343 to support the classes. Those who have already purchased tickets have brought a sense of unity to the community, as they have not only paid for their entry but have also shared their enthusiasm for the cause. It is expected that by the end of the fair, the target amount will be raised, ensuring that the local classes receive the support they need.",,False,Tickets
15,Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The living room took twice as much time as everything else combined.  How long did everything take?,"The kitchen took 4 * .5 = <<4*.5=2>>2 hours longer than the bedrooms
So the kitchen took 4 + 2 = <<4+2=6>>6 hours
The bedrooms took 3 * 4 = <<3*4=12>>12 hours
So the kitchen and bedrooms combined took 12 + 6 = <<12+6=18>>18 hours
The living room took 18 * 2 = <<18*2=36>>36 hours
So everything took a total of 18 + 36 = <<18+36=54>>54 hours
#### 54",Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The () room took twice as much time as everything else combined.  How long did everything take?,living,54,"['3', '50%', 'much time', 'else everything', 'house', 'bedroom', 'hours', 'kitchen', 'living', 'room', 'much', 'time', 'combined', 'long']","In a bustling household, managing time efficiently is crucial to maintaining a harmonious living environment. With a family of three, each member typically spends around 50% of their waking hours at home. This means that much time is often spent in various areas of the house, such as the kitchen, living room, and bedroom. When considering how much time is combined in these spaces over the long run, it becomes evident that everything else in the house plays a significant role in shaping daily routines and interactions. Whether it's unwinding in the living room after a long day or preparing meals together in the kitchen, the dynamics within each room contribute to the overall atmosphere of the household.",,False,kitchen
16,"Sandro has six times as many daughters as sons. If he currently has three sons, how many children does he have?","If Sandro has three sons, the total number of daughters, six times the number of sons, is 3 sons * 6 daughters/son = <<3*6=18>>18 daughters.
The total number of children is 18 daughters + 3 sons = <<18+3=21>>21 children.
#### 21","Sandro has six times as many daughters as (). If he currently has three (), how many children does he have?",sons,21,,,Seen Q,True,sons
17,"Jennifer is building tanks to hold her goldfish. She built 3 tanks that will hold 15 fish each, heated, and filled them. She plans to build the rest of the tanks equipped with heaters, and they will hold 10 fish each. If she needs to build enough tanks to house a total of 75 fish, how many more will she need to build?","With the tanks already built it has room for 3 tanks * 15 fish/tank = <<3*15=45>>45 fish.
The total of fish that still lack space is 75 fish - 45 fish = <<75-45=30>>30 fish.
This means Jennifer needs 30 fish / 10 fish/tank = <<30/10=3>>3 tanks of 10 fish.
#### 3","Jennifer is building tanks to hold her (). She built 3 tanks that will hold 15 fish each, heated, and filled them. She plans to build the rest of the tanks equipped with heaters, and they will hold 10 fish each. If she needs to build enough tanks to house a total of 75 fish, how many more will she need to build?",goldfish,3,"['Jennifer', '3', '15', '75', 'building', 'goldfish', 'fish', 'filled', 'build', 'rest', 'enough', 'total', 'how', 'many']","Jennifer decided to build a fish tank in her home. She planned to fill it with goldfish. She calculated that each goldfish would need 3 gallons of water to thrive, and she wanted to have a total of 15 goldfish in the tank. Knowing that the tank could hold up to 75 gallons of water, Jennifer wondered how many more goldfish she could add to the tank while ensuring there was enough space and water quality for the fish to rest and grow comfortably. She needed to figure out the total capacity of the tank and how many more goldfish she could add to the existing 15 to strike the right balance in her aquatic building project.",Relevent Info,True,fish
18,"September's temperature fluctuated severely in 1 week.  They started off with 40 degrees on Sunday then hit 50 on Monday, 65 on Tuesday, 36 on Wednesday, 82 on Thursday, 72 on Friday and ended the week at 26 on Saturday.  What was the average temperature for that week?","When you add up the temperature for the entire week, it comes to 40+50+65+36+82+72+26 = <<40+50+65+36+82+72+26=371>>371
These temperatures were over 7 days so the average temperature was 371/7 =<<371/7=53>>53 degrees
#### 53","September's temperature fluctuated severely in 1 week.  They started off with 40 () on Sunday then hit 50 on Monday, 65 on Tuesday, 36 on Wednesday, 82 on Thursday, 72 on Friday and ended the week at 26 on Saturday.  What was the average temperature for that week?",degrees,53,,,Seen Q,True,degrees
19,Stella and Twinkle are filling up a truck with a capacity of 6000 stone blocks at the rate of 250 blocks per hour per person. They work for four hours and are then joined by 6 other people who also work at the same rate. How many hours did filling the truck take?,"Stella and Twinkle filled up the truck at the rate of 250 blocks per hour per person, a total of 2*250 = <<250*2=500>>500 blocks per hour for both.
After working for four hours, Stella and Twinkle had filled 4*500 = <<4*500=2000>>2000 blocks into the truck.
The number of blocks they had to put into the truck for it to be full is 6000-2000 = <<6000-2000=4000>>4000
When 6 more people joined Stella and Twinkle, a total of 2+6 = <<2+6=8>>8 people were filling the truck now.
Working at the rate of 250 blocks per person, the eight people filled the truck with 250*8 = <<250*8=2000>>2000 blocks in one hour.
If there were 4000 blocks that still needed to be put into the truck, the 8 people took 4000/2000 = <<4000/2000=2>>2 hours to fill the truck with the blocks.
The total time it took to fill up the tank is 4+2 = <<4+2=6>>6 hours.
#### 6",Stella and Twinkle are filling up a () with a capacity of 6000 stone blocks at the rate of 250 blocks per hour per person. They work for four hours and are then joined by 6 other people who also work at the same rate. How many hours did filling the () take?,truck,6,"['Stella and Twinkle', 'four hours', 'stone blocks', 'other people', 'many hours', 'filling', 'stone', 'hour', 'person', 'hours', 'then', 'joined', 'other', 'people', 'How']","Stella and Twinkle, two skilled masons, were tasked with constructing a sturdy stone wall using large stone blocks. They had been working diligently for four hours, carefully placing each stone in its designated spot. As they worked, other people passing by stopped to watch the impressive craftsmanship on display. Many hours passed, with each hour filled with the rhythmic sound of stone meeting stone. Then, as the sun began to set, more people joined to assist in the construction, lending their strength and expertise to the project. How the wall would look once completed was a topic of much speculation among the onlookers, as the two masons and the other people worked tirelessly to bring their vision to life.",,False,pit
20,"Marla has to spend 20 minutes driving one way to her son's school, then 70 minutes attending parent-teacher night, then the same amount of time driving home. How many minutes does Marla spend on this errand in total?","First multiply Marla's one-way driving time by 2 to find her total driving time: 20 minutes * 2 = <<20*2=40>>40 minutes
Then add Marla's driving time to the time spent attending the conference to find the total time: 70 minutes + 40 minutes = <<70+40=110>>110 minutes
#### 110","Marla has to spend 20 () driving one way to her son's school, then 70 () attending parent-teacher night, then the same amount of time driving home. How many () does Marla spend on this errand in total?",minutes,110,,,Seen Q,True,minutes
21,"Jed collects stamp cards. Every week, he gets 6 cards. But every two weeks, he gives 2 cards to his friends. If Jed started with 20 cards, after how many weeks will he have a total of 40 cards?","In the first week, Jed has 20 + 6 = <<20+6=26>>26 cards.
In the second week, he has 26 + 6 = <<26+6=32>>32 cards.
But he is left with 32 - 2 = <<32-2=30>>30 cards on the 2nd week after giving 2 cards to his friend.
Then Jed has 30 + 6 = <<30+6=36>>36 cards on the 3rd week.
He has 36 + 6 = <<36+6=42>>42 cards on the 4th week.
After giving his friend 2 cards, he is then left with 42 - 2 = <<42-2=40>>40 cards on the 4th week.
Hence, Jed will have a total of 40 cards in 4 weeks.
#### 4","Jed collects stamp cards. Every week, he gets 6 cards. But every two (), he gives 2 cards to his friends. If Jed started with 20 cards, after how many () will he have a total of 40 cards?",weeks,4,,,Seen Q,True,weeks
22,"Tim buys 3 loaves of bread.  Each loaf of bread has 20 slices.  He pays for the 3 loaves of bread with 2 $20 bills.  He gets $16 change.  How much does each slice cost, in cents?","He gave 2*20=$<<2*20=40>>40.
So the total cost was 40-16=$<<40-16=24>>24.
That means each slice costs 24/3=$<<24/3=8>>8.
That means it costs 8*100=<<8*100=800>>800 cents.
So each slice is 800/20=<<800/20=40>>40 cents.
#### 40","Tim buys 3 loaves of bread.  Each loaf of bread has 20 slices.  He pays for the 3 loaves of bread with 2 $20 bills.  He gets $16 change.  How much does each slice cost, in ()?",cents,40,"['Tim', '3 loaves', '3', '$ bills', '$ change', 'buys', 'bread', 'has', 'slices', 'cost', 'cents']","Tim went to the bakery with three $ bills in his pocket. He decided to buy three loaves of bread, each costing 75 cents. After purchasing the bread, Tim realized he only had enough money to cover the cost of the loaves but not for any additional items. Each loaf had eight slices, so in total, Tim had 24 slices of bread to enjoy. He carefully counted his change to ensure he had enough for the purchase and to have some money left over for later.",,False,Dollar
23,John buys a heating pad for $30.  He uses it 3 times a week for 2 weeks.  How much does he spend on each use?,"He uses it 3*2=<<3*2=6>>6 times
So he pays 30/6=$<<30/6=5>>5
#### 5",John buys a heating pad for $30.  He ()s it 3 times a week for 2 weeks.  How much does he spend on each ()?,use,5,"['John', '2 weeks', 'buys', 'uses', 'times', 'weeks', 'How', 'use']","John recently bought a new gadget and has been using it for the past 2 weeks. He is curious about how many times he has used it within this time frame. To determine the frequency of his usage, John is contemplating the question, ""How often do I use this gadget in a span of 2 weeks?"" This inquiry reflects his interest in tracking his usage patterns and getting a better understanding of his interaction with the device over the course of two weeks.",,False,uses
24,"Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in total on the pills?","There were 9-4 = <<9-4=5>>5 other pills
Each of the other pills cost 1.50+5.50 = <<1.50+5.50=7>>7 dollars each.
The 5 pills cost a total of 7*5 = <<7*5=35>>35 dollars.
The first 4 pills cost 1.50*4 = <<1.50*4=6>>6 dollars in total.
Henry spent a total of 35+6 = <<35+6=41>>41 dollars.
#### 41","Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in () on the pills?",total,41,,,Seen Q,True,total
25,"Kamil wants to renovate his kitchen at home. For this purpose, he hired two professionals who work for him 6 hours a day for 7 days. What does it cost Kamil to hire these professionals if one of them is paid $15 per hour of work?","Two professionals work together 6 * 2 = <<6*2=12>>12 hours per day.
They work for 7 days, so in total it means 7 * 12 = <<7*12=84>>84 hours.
The cost of hiring these persons is 84 * 15 = $<<84*15=1260>>1260.
#### 1260","Kamil wants to renovate his kitchen at home. For this purpose, he hired two professionals who work for him 6 ()s a day for 7 days. What does it cost Kamil to hire these professionals if one of them is paid $15 per () of work?",hour,1260,"['Kamil', 'Kamil', '15', 'wants', 'home', 'purpose', 'hired', 'day', 'cost', 'hire', 'paid']","Kamil, a 15-year-old with a strong desire to contribute to his family's income, wants to find a job to earn money. His purpose is to help cover some of the household expenses. After actively seeking employment opportunities, Kamil is hired by a local store to work part-time during the day. The store owner agrees to pay Kamil a fair wage for his work, considering the cost to hire him. With this job, Kamil is excited to start earning money and make a meaningful contribution to his family's financial well-being while gaining valuable work experience.",,False,hours
26,"Jeremy's uncle gave him $50 to spend on basketball equipment. He bought 5 jerseys that cost $2 each, a basketball that cost $18, and a pair of shorts that cost $8. How much money does Jeremy have left?","The cost of the jerseys is 5 jerseys × $2/jersey = $<<5*2=10>>10.
The total cost of the jerseys, the basketball, and the shorts is $10 + $18 + $8 = $<<10+18+8=36>>36.
Jeremy has $50 - $36 = $<<50-36=14>>14 left.
#### 14","Jeremy's uncle gave him $50 to spend on () equipment. He bought 5 jerseys that cost $2 each, a () that cost $18, and a pair of shorts that cost $8. How much money does Jeremy have left?",basketball,14,"[""Jeremy's"", '50', '5', '18', '8', 'Jeremy', 'spend', 'cost', 'pair', 'shorts', 'How']","Jeremy's is a popular clothing store known for its trendy and affordable fashion items. Recently, Jeremy went shopping at his favorite store and found a stylish pair of shorts that caught his eye. The shorts cost $50, but Jeremy had a $5 discount coupon, bringing the final cost down to $45. Excited about his purchase, Jeremy decided to spend an additional $18 on a matching shirt to complete his outfit. In total, Jeremy spent $63 on the pair of shorts and the shirt. How much did the pair of shorts alone cost before the discount?",Relevent Info,True,sports
27,"Dorothy spent $53 to buy doughnut ingredients. If she made 25 doughnuts and sells each for $3, how much was her profit?","She was able to earn 25 x $3 = $<<25*3=75>>75 for the doughnuts.
Therefore, Dorothy's profit is $75 - $53 = $<<75-53=22>>22.
#### 22","Dorothy spent $53 to buy doughnut ingredients. If she made 25 doughnuts and sells each for $3, how much was her ()?",profit,22,,,Seen Q,True,profit
28,"Two days ago, the temperature in the morning went up 1.5 degrees every 2 hours. If the temperature was 50 degrees at 3 A.M., what was the temperature at 11 A.M.?","At 5 A.M., the temperature was 50 degrees + 1.5 degrees = <<50+1.5=51.5>>51.5 degrees.
At 7 A.M., the temperature was 51.5 degrees + 1.5 degrees = <<51.5+1.5=53>>53 degrees.
At 9 A.M., the temperature was 53 degrees + 1.5 degrees = <<53+1.5=54.5>>54.5 degrees.
At 11 A.M., the temperature was 54.5 degrees + 1.5 degrees = <<54.5+1.5=56>>56 degrees.
#### 56","Two days ago, the () in the morning went up 1.5 degrees every 2 hours. If the () was 50 degrees at 3 A.M., what was the () at 11 A.M.?",temperature,56,,,Seen Q,True,Temperature
29,"James has five huskies, two pitbulls and four golden retrievers, all female. They became pregnant and each golden retriever had two more pups than each husky. If the huskies and pitbulls had 3 pups each, How many more pups than adult dogs are there in total?","There are 5+2 = <<5+2=7>>7 huskies and pitbulls
7 huskies and pitbulls had 3 pups each for a total of 3*7 = <<7*3=21>>21 pups
Each golden retriever had 2 more pups each than the huskies who had 3 each so each golden retriever had 3+2 = <<3+2=5>>5 pups
4 golden retrievers had 5 pups each for a total of 20 pups
There are a total of 21+20 = <<21+20=41>>41 pups
There are a total of 5+2+4 = <<5+2+4=11>>11 adult dogs
There are 41-11 = <<41-11=30>>30 more pups than adult dogs
#### 30","James has five huskies, two pitbulls and four golden retrievers, all female. They became pregnant and each golden retriever had two more pups than each husky. If the huskies and pitbulls had 3 pups each, How many more pups than () dogs are there in total?",adult,30,"['James', '3', 'many pups', 'adult dogs', 'huskies', 'retrievers', 'female', 'became', 'more', 'husky', 'many', 'adult', 'dogs', 'there']","James became the proud owner of three adult dogs - two huskies and a retriever. Among them, the female husky had recently given birth to many pups, making their household even livelier. With the addition of the puppies, there were now many more dogs in the household, creating a bustling and energetic atmosphere. James found joy in caring for his growing pack of dogs, especially the adorable husky pups, as they all became an integral part of his family.",,False,pitbulls
