Unnamed: 0.1,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
22,8071,cf34c4f1f58776ea0ab49b91a35ca02c,"The man wanted a new ottoman, so where did he look?",ottoman,"['basement', 'furniture store', 'decoration', 'parlor', 'couch outlet']",B,"A: basement
B: furniture store
C: decoration
D: parlor
E: couch outlet",furniturestore,"['basement', 'furniture store', 'decoration', '', 'couch outlet']",['parlor'],"Question: The man wanted a new ottoman, so where did he look?
Answer:
A: basement
B: furniture store
C: decoration
D: 
E: couch outlet","The man wanted a new (), so where did he look?",ottoman,"['man', 'new', 'so', 'look']","A man walked into the bustling city square, his eyes wide with wonder at the new sights and sounds surrounding him. He couldn't help but stop and look around, taking in the vibrant energy of the place. The towering skyscrapers, the colorful street vendors, and the lively crowds all seemed to be so different from what he was used to. As he continued to explore, the man felt a sense of excitement and anticipation for the adventures that awaited him in this unfamiliar environment.",,False,car
23,181,442dd2d372228b9942f55d761ef961a3,Where are there more telephone booths?,telephone booth,"['gas stations', 'city', 'london', 'train station', 'airport']",B,"A: gas stations
B: city
C: london
D: train station
E: airport",city,"['gas stations', 'city', 'london', '', 'airport']",['train station'],"Question: Where are there more telephone booths?
Answer:
A: gas stations
B: city
C: london
D: 
E: airport",Where are there more telephone ()?,booths,,,Seen Q,True,booths
24,1973,876a2b6510b536f4f1aac16d59ff882c,Where does a car belong?,car,"['air port', 'repair shop', 'road', 'race track', 'freeway']",C,"A: air port
B: repair shop
C: road
D: race track
E: freeway",road,"['air port', 'repair shop', 'road', '', 'freeway']",['race track'],"Question: Where does a car belong?
Answer:
A: air port
B: repair shop
C: road
D: 
E: freeway",Where does a () belong?,car,"['Where', 'car']","When planning a road trip, one of the essential considerations is deciding where to go and what mode of transportation to use. The choice of destination plays a crucial role in determining the route and stops along the way. Additionally, selecting the right car for the journey is equally important to ensure a comfortable and safe travel experience. Factors such as the number of passengers, luggage capacity, and fuel efficiency should be taken into account when deciding on the most suitable car for the trip. Ultimately, the combination of the right destination and the appropriate car can make for a memorable and enjoyable road trip experience.",Relevent Info,True,Plant
25,8412,b17ba07ad5bb352166d409f33a69bbde,Where do most birds put eggs?,bird,"['nest', 'forest', 'cage', 'store', 'sky']",A,"A: nest
B: forest
C: cage
D: store
E: sky",nest,"['nest', 'forest', '', 'store', 'sky']",['cage'],"Question: Where do most birds put eggs?
Answer:
A: nest
B: forest
C: 
D: store
E: sky",Where do most birds put ()?,eggs,"['most birds', 'Where', 'birds']","Birds are a diverse group of animals found all over the world, with the majority of species being capable of flight. Wherever you go, you are likely to encounter birds in various habitats, from forests and grasslands to urban areas. Most birds have adapted to their environments through specialized beaks, feet, and plumage, allowing them to thrive in diverse conditions. Whether you are in a bustling city or a remote wilderness, the presence of birds is a constant reminder of the beauty and resilience of nature.",,False,Nest
26,8285,697879acd78b80cb873af2643294f032,"Playing tennis requires at least one opponent, a ball, and a what?",playing tennis,"['skill', 'big money', 'time', 'tennis racket', 'legs']",D,"A: skill
B: big money
C: time
D: tennis racket
E: legs",tennisracket,"['skill', '', 'time', 'tennis racket', 'legs']",['big money'],"Question: Playing tennis requires at least one opponent, a ball, and a what?
Answer:
A: skill
B: 
C: time
D: tennis racket
E: legs","Playing tennis requires at least one (), a ball, and a what?",opponent,"['tennis', 'least', 'ball']","In tennis, the objective is to hit the ball over the net and into the opponent's court, aiming to score points by making it difficult for the other player to return the ball successfully. The game is typically played in sets, with each set consisting of games. To win a game, a player must score at least four points and have a two-point lead over their opponent. The player serving the ball must ensure it lands within the designated service box on the opposite side of the court. The ball used in tennis is specifically designed for the sport, with a felt covering and a hollow rubber core, allowing for optimal bounce and control during gameplay.",,False,racket
27,2983,c42d4a2a31a4442832074cd3c697a2cc,What would you be doing if you are having lunch?,having lunch,"['eating', 'hunger', 'burp', 'laughing', 'food']",A,"A: eating
B: hunger
C: burp
D: laughing
E: food",eating,"['eating', 'hunger', 'burp', 'laughing', '']",['food'],"Question: What would you be doing if you are having lunch?
Answer:
A: eating
B: hunger
C: burp
D: laughing
E: ",What would you be doing if you are having ()?,lunch,"['doing', 'having']","In the pursuit of a fulfilling life, individuals often grapple with the balance between ""doing"" and ""having."" While ""doing"" refers to engaging in activities, experiences, and personal growth that contribute to one's sense of purpose and fulfillment, ""having"" pertains to material possessions, wealth, and external markers of success. Striking a harmonious equilibrium between these two aspects is essential for holistic well-being. It is crucial to prioritize meaningful experiences and personal development through ""doing,"" as they often lead to lasting happiness and fulfillment, rather than solely focusing on accumulating possessions or wealth through ""having."" By consciously navigating the interplay between ""doing"" and ""having,"" individuals can cultivate a more balanced and enriching life that aligns with their values and aspirations.",,False,fun
28,1061,87f8bfdea382f440c65027372991fc99,A hinged door is not always found in which room of the house?,hinged door,"['jamb', 'own house', 'building', 'kitchen', 'washing machine']",D,"A: jamb
B: own house
C: building
D: kitchen
E: washing machine",kitchen,"['jamb', 'own house', '', 'kitchen', 'washing machine']",['building'],"Question: A hinged door is not always found in which room of the house?
Answer:
A: jamb
B: own house
C: 
D: kitchen
E: washing machine",A hinged door is not always found in which room of the ()?,house,"['hinged', 'door', 'always']","A hinged door is a common feature in many households and buildings, providing a practical and convenient way to enter or exit a room. Unlike sliding doors or revolving doors, hinged doors swing open and closed on hinges attached to the door frame. This traditional design has stood the test of time and remains a popular choice for interior and exterior doors. Whether it's a bedroom door, a front door, or a closet door, the hinged mechanism allows for smooth and reliable operation, ensuring that the door always functions as intended.",,False,bathroom
29,3770,d1e02be9922ae8f52cef4a7dca8fa331,Why could someone fall down after eating lunch?,eating lunch,"['drowsiness', 'late for work', 'feel full', 'lethargy', 'feel sleepy']",E,"A: drowsiness
B: late for work
C: feel full
D: lethargy
E: feel sleepy",feelsleepy,"['', 'late for work', 'feel full', 'lethargy', 'feel sleepy']",['drowsiness'],"Question: Why could someone fall down after eating lunch?
Answer:
A: 
B: late for work
C: feel full
D: lethargy
E: feel sleepy",Why could someone fall down after eating ()?,lunch,"['Why', 'fall']","Understanding why things happen the way they do is crucial in navigating life's challenges. When we delve into the reasons behind events, we gain insight and knowledge that can help us make informed decisions. The concept of ""why"" often leads us to uncover the root causes of various situations, whether they involve personal relationships, career choices, or societal issues. In the cycle of life, we often encounter moments of triumph and moments of adversity. The fall, both literal and metaphorical, is a common theme in human experiences. It symbolizes setbacks, failures, and moments of decline. However, it is important to remember that just as the fall is inevitable, so is the opportunity for growth, resilience, and eventual rise. By understanding the ""why"" behind our falls, we can learn valuable lessons, adapt, and ultimately emerge stronger.",,False,poison
30,7165,5556bf1702075d307fe639156412e042,What is the opposite of ambiguous?,ambiguous,"['clear', 'certain', 'distinct', 'blurry', 'explicit']",A,"A: clear
B: certain
C: distinct
D: blurry
E: explicit",clear,"['clear', '', 'distinct', 'blurry', 'explicit']",['certain'],"Question: What is the opposite of ambiguous?
Answer:
A: clear
B: 
C: distinct
D: blurry
E: explicit",What is the () of ambiguous?,opposite,"['opposite', 'ambiguous']","In communication, the use of ambiguous language can often lead to misunderstandings or confusion. When a message is ambiguous, its meaning is unclear or open to interpretation. This can be especially problematic when the intended meaning is the opposite of what is understood due to the ambiguity. Therefore, it is crucial to strive for clarity and precision in our language to ensure that our intended message is accurately conveyed and not misconstrued as its opposite.",Relevent Info,True,meaning
31,4446,e7fd320d1b0935f833e378f9b7aea2a9,What do people feel when something good happens?,people,"['experience joy', 'believe in god', 'sadness', 'get sick', 'ask questions']",A,"A: experience joy
B: believe in god
C: sadness
D: get sick
E: ask questions",experiencejoy,"['experience joy', 'believe in god', 'sadness', '', 'ask questions']",['get sick'],"Question: What do people feel when something good happens?
Answer:
A: experience joy
B: believe in god
C: sadness
D: 
E: ask questions",What do () feel when something good happens?,people,"['feel', 'when', 'good']","Feeling good is a subjective experience that can be influenced by various factors such as physical health, mental well-being, and external circumstances. It is important to pay attention to how you feel and to prioritize activities and practices that contribute to your overall sense of well-being. Knowing when you feel good can help you identify patterns and triggers that positively impact your mood and emotions. By being mindful of these moments and understanding what contributes to them, you can cultivate a more consistent state of feeling good in your daily life.",,False,Joy
32,6404,15a0a893bb90661d44ebe6fbc04a09d1,A modern farmer needs many skills common for who in order to manage finances and increase sales?,farmer,"['harvesting', 'business man', 'city dweller', 'farm land', 'industrial']",B,"A: harvesting
B: business man
C: city dweller
D: farm land
E: industrial",businessman,"['harvesting', 'business man', '', 'farm land', 'industrial']",['city dweller'],"Question: A modern farmer needs many skills common for who in order to manage finances and increase sales?
Answer:
A: harvesting
B: business man
C: 
D: farm land
E: industrial",A modern farmer needs many skills common for who in order to manage finances and increase ()?,sales,"['many skills', 'farmer', 'needs', 'many', 'skills', 'common', 'order']","In order to thrive as a farmer, one needs to possess many skills. Farming is a multifaceted profession that requires a diverse set of abilities to be successful. From planting and harvesting crops to caring for livestock, a farmer must have many skills in order to effectively manage their land and animals. Common skills needed by farmers include knowledge of agricultural practices, machinery operation, animal husbandry, and business acumen. In many ways, farming is a profession that demands a wide range of skills in order to navigate the challenges and opportunities that come with working the land.",Relevent Info,True,profits
