Unnamed: 0.1,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
10,1507,98f35feb6c39efba204fa9d9d1a73dc3,"If there are people watching a priest, what is he doing?",priest,"['on trial', 'drink coffee', 'believe in god', 'baptise', 'say mass']",E,"A: on trial
B: drink coffee
C: believe in god
D: baptise
E: say mass",saymass,"['on trial', 'drink coffee', 'believe in god', '', 'say mass']",['baptise'],"Question: If there are people watching a priest, what is he doing?
Answer:
A: on trial
B: drink coffee
C: believe in god
D: 
E: say mass","If there are () watching a priest, what is he doing?",people,"['are', 'doing']","Here's a relevant context incorporating ""are"" and ""doing"":

People often wonder what they are doing with their lives and whether their actions align with their goals. In today's fast-paced world, many individuals are constantly busy but may not be mindful of how they are spending their time or what impact they are doing to make a difference. Taking time for self-reflection and evaluating what we are doing can help ensure our daily activities match our long-term aspirations and values.",,False,preaching
11,6271,587bdd8fd449cc518452f6b8d52b16e1,What old models are likely to be made of wood?,wood,"['car', 'tree', 'hardware store', 'lumberyard', 'boat']",E,"A: car
B: tree
C: hardware store
D: lumberyard
E: boat",boat,"['car', '', 'hardware store', 'lumberyard', 'boat']",['tree'],"Question: What old models are likely to be made of wood?
Answer:
A: car
B: 
C: hardware store
D: lumberyard
E: boat",What old models are likely to be made of ()?,wood,,,Seen Q,True,wood
12,4224,9a3a2184e24740ffb5067ac25ecd6963,"If an apple tree were in the North, where would it be?",apple tree,"['alaska', 'farm yard', 'park', 'flowers', 'new jersey']",E,"A: alaska
B: farm yard
C: park
D: flowers
E: new jersey",newjersey,"['alaska', '', 'park', 'flowers', 'new jersey']",['farm yard'],"Question: If an apple tree were in the North, where would it be?
Answer:
A: alaska
B: 
C: park
D: flowers
E: new jersey","If an apple () were in the North, where would it be?",tree,"['apple', 'where']","In the quest to understand ""where"" apples originate, we discover a fascinating journey that begins in Central Asia, specifically in Kazakhstan's Tian Shan mountains. The modern apple (Malus domestica) has traveled far from these ancient roots, spreading across trade routes and continents to become one of the world's most widely cultivated and beloved fruits. Today, apples grow in temperate regions across the globe, from the orchards of Washington state to the hills of New Zealand. The fruit's remarkable adaptability has allowed it to thrive in diverse climates, though it requires specific conditions including cold winters and moderate summers to produce the crisp, sweet apples we enjoy today. This versatile fruit has become deeply embedded in human culture, appearing in everything from ancient mythology to modern technology branding, demonstrating its enduring significance in human society.",,False,pole
13,4332,3c67815352fec6a0fdf7656ccb5b5fd5,"The bald eagle has been a protected species, this is in part due to a dwindling what?",bald eagle,"['nest', 'everglades', 'high places', 'in washington', 'natural habitat']",E,"A: nest
B: everglades
C: high places
D: in washington
E: natural habitat",naturalhabitat,"['nest', 'everglades', 'high places', 'in washington', '']",['natural habitat'],"Question: The bald eagle has been a protected species, this is in part due to a dwindling what?
Answer:
A: nest
B: everglades
C: high places
D: in washington
E: ","The bald eagle has been a protected species, this is in () due to a dwindling what?",part,"['protected species', 'bald', 'species', 'dwindling']","The bald eagle stands as one of America's most remarkable conservation success stories, having rebounded from a critically dwindling population in the mid-20th century. Once a protected species under the Endangered Species Act, these majestic birds faced near extinction due to widespread use of DDT pesticides, which caused their eggshells to become dangerously thin. By 1963, there were only about 417 nesting pairs remaining in the lower 48 states. Through intensive conservation efforts, legal protection, and the ban of DDT, the species has made an extraordinary recovery. Today, bald eagles have been removed from the endangered species list, though they remain protected under other federal laws. Their resurgence from a dwindling population to over 316,700 individuals in the continental United States demonstrates the effectiveness of wildlife protection measures and serves as an inspiring example of how dedicated conservation efforts can help threatened species recover.",,False,population
14,172,e99da2b1d9ec4be89c2b42407aa5a15f,What could you add a line to?,line,"['bus stop', 'graph', 'post office', 'grass', 'play']",B,"A: bus stop
B: graph
C: post office
D: grass
E: play",graph,"['bus stop', 'graph', '', 'grass', 'play']",['post office'],"Question: What could you add a line to?
Answer:
A: bus stop
B: graph
C: 
D: grass
E: play",What could you add a () to?,line,"['add', 'line']","In mathematics and computer programming, the ability to ""add"" is one of the most fundamental operations, representing a straight ""line"" of progression from simple arithmetic to complex calculations. When children first learn mathematics, they typically begin by adding numbers along a number line, which provides a visual representation of how quantities increase in a linear fashion. This concept of linear addition extends far beyond basic math – it appears in everyday scenarios like standing in line at a store and adding more people to the queue, or in spreadsheet software where users can add new lines of data to organize information. The relationship between adding and lines also manifests in geometry, where adding line segments together creates longer lines or shapes, forming the basis for more advanced mathematical concepts like vectors and geometric progressions.",,False,anything
15,6039,557237ba0b61f9a69ec696bdbb00743d,Going in an air conditioned room to cool off is a good way to get what from hot weather?,cool off,"['rest', 'go swimming', 'relief', 'calm down', 'change']",C,"A: rest
B: go swimming
C: relief
D: calm down
E: change",relief,"['rest', 'go swimming', 'relief', 'calm down', '']",['change'],"Question: Going in an air conditioned room to cool off is a good way to get what from hot weather?
Answer:
A: rest
B: go swimming
C: relief
D: calm down
E: ",Going in an air conditioned room to cool off is a good () to get what from hot weather?,way,"['hot weather', 'Going', 'conditioned', 'cool', 'good', 'get', 'weather']","During periods of hot weather, many people seek ways to escape the sweltering temperatures. Going to air-conditioned spaces like shopping malls, movie theaters, or libraries is a good strategy to get relief from the intense heat. These climate-controlled environments provide a cool sanctuary where people can comfortably spend time while the weather outside remains unbearable. It's particularly important to find ways to stay cool during heat waves, as excessive exposure to high temperatures can affect both physical and mental well-being. Making smart choices about where to spend time during hot days can help maintain comfort and health until temperatures become more moderate.",Relevent Info,True,relief
16,7233,91ffbe8c9cbcaa04e4ed41ba2d8f998f,Where might a snake drop from?,snake,"['tree', 'pet shops', 'feild', 'tropical forest', 'cage']",A,"A: tree
B: pet shops
C: feild
D: tropical forest
E: cage",tree,"['tree', 'pet shops', 'feild', '', 'cage']",['tropical forest'],"Question: Where might a snake drop from?
Answer:
A: tree
B: pet shops
C: feild
D: 
E: cage",Where might a () drop from?,snake,"['Where', 'snake']","In the diverse ecosystems around the world, snakes can be found on every continent except Antarctica. These remarkable reptiles have adapted to thrive in a wide range of habitats, from dense tropical rainforests and arid deserts to temperate woodlands and grasslands. Where snakes choose to live largely depends on factors such as available prey, climate conditions, and suitable shelter. Some species, like the anaconda, prefer aquatic environments in South America, while others, such as the sidewinder rattlesnake, have evolved specialized movements to navigate hot desert sands. Urban areas are not exempt from snake habitation, as many species have successfully adapted to living in gardens, parks, and even suburban environments where they play crucial roles in controlling rodent populations. Understanding where snakes live and their habitat preferences is essential for both conservation efforts and human safety, as it helps us better coexist with these important predators in our ecosystems.",,False,sky
17,5643,120a6af76efd75ec095c053287a6c937,"Sam treasured his freedom.  When he became a POW, he tried to escape from what?",freedom,"['communism', 'oppression', 'slavery', 'bad marriage', 'captivity']",E,"A: communism
B: oppression
C: slavery
D: bad marriage
E: captivity",captivity,"['communism', 'oppression', 'slavery', 'bad marriage', '']",['captivity'],"Question: Sam treasured his freedom.  When he became a POW, he tried to escape from what?
Answer:
A: communism
B: oppression
C: slavery
D: bad marriage
E: ","Sam treasured his freedom.  When he became a (), he tried to escape from what?",POW,"['treasured', 'freedom', 'POW', 'tried']","During World War II, freedom was a deeply treasured concept for thousands of POW (Prisoners of War) who endured unimaginable hardships in enemy camps. Many captured soldiers tried desperately to maintain their dignity and hope while facing brutal conditions, inadequate food, and psychological torture. Their experiences in captivity made them appreciate the basic liberties that most civilians took for granted. Through secret messages, escape attempts, and maintaining strong bonds with fellow prisoners, these brave individuals fought to keep their spirits alive. When liberation finally came, many survivors spoke of how their time as POWs had forever changed their perspective on the value of freedom, making it not just an abstract concept but a precious gift to be treasured and protected for future generations.",Relevent Info,True,prison
18,236,c3b6280d05a9f9c5b031fcbeaa0ce695,"Though nearby, an apple from an apple tree where would be an imported product to the USA?",apple tree,"['ohio', 'washington state', 'alaska', 'canada', 'flowers']",D,"A: ohio
B: washington state
C: alaska
D: canada
E: flowers",canada,"['ohio', '', 'alaska', 'canada', 'flowers']",['washington state'],"Question: Though nearby, an apple from an apple tree where would be an imported product to the USA?
Answer:
A: ohio
B: 
C: alaska
D: canada
E: flowers","Though nearby, an () from an () tree where would be an imported product to the USA?",apple,"['USA', 'apple tree', 'imported', 'product']","In the early colonial history of the USA, apple trees played a significant role in agricultural development, though most varieties were not native to North America. The first apple trees were imported by European settlers in the 17th century, bringing seeds and saplings from their homeland. As colonists expanded westward, John Chapman, famously known as Johnny Appleseed, helped establish apple orchards across the frontier. Today, the USA is one of the world's largest apple producers, with states like Washington, New York, and Michigan leading domestic production. The fruit has become not just an agricultural product but also a cultural symbol, representing American values and traditions, as reflected in phrases like ""as American as apple pie."" The modern apple industry in the USA generates billions of dollars annually, with both domestic consumption and exported product contributing to the economy. Many of today's popular commercial varieties, such as Red Delicious and Honeycrisp, were developed through careful breeding programs in American agricultural institutions.",,False,avocado
19,3350,daf313b39a95084a099ea8706f803061,"If a cottage is above the cloud line, where is it?",cottage,"['village', 'rural area', 'mountains', 'fairy story', 'valley']",C,"A: village
B: rural area
C: mountains
D: fairy story
E: valley",mountains,"['village', '', 'mountains', 'fairy story', 'valley']",['rural area'],"Question: If a cottage is above the cloud line, where is it?
Answer:
A: village
B: 
C: mountains
D: fairy story
E: valley","If a cottage is above the () line, where is it?",cloud,"['cloud', 'where']","In today's digital landscape, the cloud has revolutionized how we store, access, and manage data, fundamentally changing where our information resides. Unlike traditional local storage systems, cloud computing allows users to store their data on remote servers accessed through the internet, meaning your files and applications can be reached from anywhere with an internet connection. This shift in where data is housed has transformed business operations, personal computing, and digital collaboration. Companies no longer need to maintain extensive on-site server rooms, as their data and applications can exist in the cloud, while individuals can seamlessly sync their photos, documents, and other digital content across multiple devices. The question of where data is physically stored has become less relevant to end-users, as the cloud's infrastructure spans multiple locations worldwide, providing redundancy and reliability through distributed data centers.",,False,treeline
20,5254,bfaff48744a77de1fd5e91f809d86656,What do most people hope to achieve when playing sports?,playing sports,"['an mbe', 'running', 'winning', 'have fun', 'cheat']",C,"A: an mbe
B: running
C: winning
D: have fun
E: cheat",winning,"['an mbe', '', 'winning', 'have fun', 'cheat']",['running'],"Question: What do most people hope to achieve when playing sports?
Answer:
A: an mbe
B: 
C: winning
D: have fun
E: cheat",What do most people hope to achieve when playing ()?,sports,,,Similar Q,True,success
21,6087,3835b21ecc2c5c9317ea73aa57a5bc1c,When you haven't seen someone since they were young and years have passed what has happened to them?,young,"['senior', 'grow', 'mature', 'old', 'aged']",E,"A: senior
B: grow
C: mature
D: old
E: aged",aged,"['senior', 'grow', '', 'old', 'aged']",['mature'],"Question: When you haven't seen someone since they were young and years have passed what has happened to them?
Answer:
A: senior
B: grow
C: 
D: old
E: aged",When you haven't seen someone since they were young and () have passed what has happened to them?,years,,,Seen Q,True,years
22,8071,cf34c4f1f58776ea0ab49b91a35ca02c,"The man wanted a new ottoman, so where did he look?",ottoman,"['basement', 'furniture store', 'decoration', 'parlor', 'couch outlet']",B,"A: basement
B: furniture store
C: decoration
D: parlor
E: couch outlet",furniturestore,"['basement', 'furniture store', 'decoration', '', 'couch outlet']",['parlor'],"Question: The man wanted a new ottoman, so where did he look?
Answer:
A: basement
B: furniture store
C: decoration
D: 
E: couch outlet","The man wanted a new (), so where did he look?",ottoman,"['new ottoman', 'man', 'wanted', 'new']","In a quest to refresh his living room decor, a man wanted to find the perfect new ottoman to complement his existing furniture. He spent weekends browsing through various furniture stores, searching for a piece that would serve both as a footrest and additional seating. The new addition needed to be both functional and aesthetically pleasing, as he envisioned using it as a centerpiece for his casual entertaining space. After careful consideration of different styles, materials, and colors, he finally found a modern ottoman that perfectly balanced comfort with contemporary design, proving that sometimes the simplest new additions can make the biggest impact in transforming a living space.",Relevent Info,True,car
23,181,442dd2d372228b9942f55d761ef961a3,Where are there more telephone booths?,telephone booth,"['gas stations', 'city', 'london', 'train station', 'airport']",B,"A: gas stations
B: city
C: london
D: train station
E: airport",city,"['gas stations', 'city', 'london', '', 'airport']",['train station'],"Question: Where are there more telephone booths?
Answer:
A: gas stations
B: city
C: london
D: 
E: airport",Where are there more telephone ()?,booths,,,Seen Q,True,booths
24,1973,876a2b6510b536f4f1aac16d59ff882c,Where does a car belong?,car,"['air port', 'repair shop', 'road', 'race track', 'freeway']",C,"A: air port
B: repair shop
C: road
D: race track
E: freeway",road,"['air port', 'repair shop', 'road', '', 'freeway']",['race track'],"Question: Where does a car belong?
Answer:
A: air port
B: repair shop
C: road
D: 
E: freeway",Where does a () belong?,car,"['Where', 'car']","Here's a relevant context incorporating ""where"" and ""car"":

Where you park your car can significantly impact both its longevity and your daily convenience. Ideally, storing your vehicle in a garage or covered parking area protects it from harsh weather conditions, UV damage, and potential vandalism. However, if outdoor parking is your only option, try to choose a spot away from trees to avoid sap and falling debris, and consider using a car cover for additional protection. The location of your parked car also affects your daily routine – having easy access to your vehicle near your home or workplace can save valuable time and reduce stress during busy commutes. Additionally, being mindful of where you park in public spaces, such as well-lit areas in parking lots or monitored structures, can enhance both your personal safety and your vehicle's security.",,False,home
25,8412,b17ba07ad5bb352166d409f33a69bbde,Where do most birds put eggs?,bird,"['nest', 'forest', 'cage', 'store', 'sky']",A,"A: nest
B: forest
C: cage
D: store
E: sky",nest,"['nest', 'forest', '', 'store', 'sky']",['cage'],"Question: Where do most birds put eggs?
Answer:
A: nest
B: forest
C: 
D: store
E: sky",Where do most birds put ()?,eggs,"['most', 'put', 'eggs']","In most households, eggs are considered a versatile and essential ingredient that can be put to use in countless ways. From breakfast dishes to baking applications, eggs serve as a fundamental component in cooking, providing structure, moisture, and binding properties to various recipes. Most people typically put their eggs in the refrigerator to maintain freshness, though storage practices can vary by country and cultural norms. In the United States, eggs undergo a cleaning process that removes their natural protective coating, which is why they must be refrigerated, while in many European countries, eggs are often kept at room temperature. Whether scrambled, poached, or incorporated into baked goods, eggs remain one of the most commonly purchased and consumed food items worldwide.",,False,nests
26,8285,697879acd78b80cb873af2643294f032,"Playing tennis requires at least one opponent, a ball, and a what?",playing tennis,"['skill', 'big money', 'time', 'tennis racket', 'legs']",D,"A: skill
B: big money
C: time
D: tennis racket
E: legs",tennisracket,"['skill', '', 'time', 'tennis racket', 'legs']",['big money'],"Question: Playing tennis requires at least one opponent, a ball, and a what?
Answer:
A: skill
B: 
C: time
D: tennis racket
E: legs","Playing tennis requires at least one (), a ball, and a what?",opponent,"['requires', 'opponent', 'ball']","In the dynamic world of competitive sports, success often requires a keen understanding of both your opponent and the ball. Whether in tennis, soccer, basketball, or volleyball, a player must constantly analyze their opponent's movements and anticipate their next action while maintaining precise control of the ball. This delicate balance requires years of practice and development of both physical skills and strategic thinking. A successful athlete not only masters the technical aspects of ball handling but also develops the ability to read their opponent's body language and predict their strategies. This mental aspect of gameplay often requires just as much training as the physical components, as players must make split-second decisions while keeping track of both the ball and their opponent's position on the field or court.",,False,racket
27,2983,c42d4a2a31a4442832074cd3c697a2cc,What would you be doing if you are having lunch?,having lunch,"['eating', 'hunger', 'burp', 'laughing', 'food']",A,"A: eating
B: hunger
C: burp
D: laughing
E: food",eating,"['eating', 'hunger', 'burp', 'laughing', '']",['food'],"Question: What would you be doing if you are having lunch?
Answer:
A: eating
B: hunger
C: burp
D: laughing
E: ",What would you be doing if you are having ()?,lunch,"['doing', 'having']","Here's a relevant context incorporating ""doing"" and ""having"":

There's a fundamental difference between doing what you love and having what you want in life. Many people focus on having material possessions or status symbols, believing these will bring fulfillment. However, research shows that doing meaningful activities and engaging in purposeful work often leads to greater long-term satisfaction than simply having things. This distinction between doing and having represents two different approaches to life satisfaction: one based on active engagement and experiences, while the other centers on passive ownership and accumulation. Psychologists suggest that individuals who prioritize doing—whether through pursuing hobbies, helping others, or creating something new—generally report higher levels of happiness compared to those primarily focused on having possessions or achievements to their name.",,False,fun
28,1061,87f8bfdea382f440c65027372991fc99,A hinged door is not always found in which room of the house?,hinged door,"['jamb', 'own house', 'building', 'kitchen', 'washing machine']",D,"A: jamb
B: own house
C: building
D: kitchen
E: washing machine",kitchen,"['jamb', 'own house', '', 'kitchen', 'washing machine']",['building'],"Question: A hinged door is not always found in which room of the house?
Answer:
A: jamb
B: own house
C: 
D: kitchen
E: washing machine",A hinged door is not always found in which room of the ()?,house,,,Seen Q,True,house
29,3770,d1e02be9922ae8f52cef4a7dca8fa331,Why could someone fall down after eating lunch?,eating lunch,"['drowsiness', 'late for work', 'feel full', 'lethargy', 'feel sleepy']",E,"A: drowsiness
B: late for work
C: feel full
D: lethargy
E: feel sleepy",feelsleepy,"['', 'late for work', 'feel full', 'lethargy', 'feel sleepy']",['drowsiness'],"Question: Why could someone fall down after eating lunch?
Answer:
A: 
B: late for work
C: feel full
D: lethargy
E: feel sleepy",Why could someone fall down after eating ()?,lunch,"['Why', 'fall']","Here's a contextual paragraph incorporating ""why"" and ""fall"":

The autumn season, commonly known as fall in North America, has long fascinated scientists and nature enthusiasts who study why leaves transform into brilliant shades of red, orange, and gold. The scientific explanation behind this spectacular display involves the breakdown of chlorophyll, which reveals hidden pigments as days grow shorter and temperatures drop. Understanding why leaves fall is equally intriguing – trees actively shed their foliage as a survival strategy, conserving energy and resources during the harsh winter months. This process, called abscission, is a remarkable example of natural adaptation, where trees respond to environmental cues by breaking down the cells at the base of each leaf stem, causing them to fall gracefully to the ground. The fallen leaves then serve another vital purpose, decomposing to enrich the soil with essential nutrients for the next growing season.",,False,mushrooms
