source,question,choices,answer,masked_question,masked_word_answer,source,url
Commonsense,Most people won't always say what they mean.   They're twisty like that.  They want to avoid conflict. You have to use your brain if you want to understand.    What do most people due sometimes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lie', 'set table', 'think', 'read books', 'not speak'],
      dtype=object)}",A,,,Commonsense,
Commonsense,"The children were going to play, the parents encouraged it hoping it resulted in what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being entertained', 'spending money', 'intermission',
       'weight loss', 'sleepiness'], dtype=object)}",E,,,Commonsense,
Commonsense,If you entire body is experiencing fatigue what would you do at the end of the day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sleep', 'sit down', 'sit on chair', 'have rest', 'lie on floor'],
      dtype=object)}",A,,,Commonsense,
Commonsense,"if you cogitate on something for a long time, you can get this feeling?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['might understand', 'enjoy', 'sit comfortably',
       'think about things', 'get irritated'], dtype=object)}",A,,,Commonsense,
Commonsense,"After answering questions from the press for hours, what did the police chief feel?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritation', 'sadness', 'polite', 'teaching', 'detective'],
      dtype=object)}",A,,,Commonsense,
Commonsense,"A lawyer is taking care of proposals, what are they trying to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['paperwork', 'getting work done', 'results', 'finishing up',
       'marriage'], dtype=object)}",B,,,Commonsense,
Commonsense,"When you want to go to bed with a pretty girl and want to get warm, what do you need to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pull up covers', 'fall asleep', 'brush teeth',
       'remove the covers', 'get laid'], dtype=object)}",A,,,Commonsense,
Commonsense,"It is a teachers job to help students commit to memory new skills, what is the teachers main job in the classroom to help students do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make tape', 'memorize', 'never forget', 'concentrate', 'learn'],
      dtype=object)}",E,,,Commonsense,
Commonsense,Where is aberdeen in the US located?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['washington', 'europe', 'scotland', 'maryland', 'south dakota'],
      dtype=object)}",A,,,Commonsense,
Commonsense,Where do students stick gum in school?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['books', 'sidewalk', 'water fountain', 'shelf', 'movies'],
      dtype=object)}",C,,,Commonsense,
Commonsense,What is a method expressing yourself while making an object of lasting beauty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['understood', 'being slapped', 'people will understand', 'pain',
       'creation of art'], dtype=object)}",E,,,Commonsense,
Commonsense,James was dedicated to contemplating things.  What did he seek?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['revelations', 'hesitation', 'lessons', 'new insights',
       'enlightenment'], dtype=object)}",E,,,Commonsense,
Commonsense,Where could I buy some chocolate?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'hotel', 'mouth', 'box', 'supermarket'], dtype=object)}",E,,,Commonsense,
Commonsense,"The police saw the moving car, what did they know the suspect was doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['driving', 'breathing', 'getting tired', 'ticket', 'accidents'],
      dtype=object)}",A,,,Commonsense,
Commonsense,Where are you normally when you take a bath?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['greece', 'hotel room', 'clothing store', 'own home', 'house'],
      dtype=object)}",D,,,Commonsense,
Commonsense,where can someone get a new chess set?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'toy store', 'michigan', 'cupboard', 'dorm'],
      dtype=object)}",B,,,Commonsense,
Commonsense,"When he was a small child he called the giraffe mascot a cow, it was a fond memory of the now defunct what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toy store', 'story book', 'great outdoors', 'countryside',
       'wildlife refuge'], dtype=object)}",A,,,Commonsense,
Commonsense,Where do lizards like to sun themselves?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garden', 'jazz club', 'tropical rainforest', 'rocky places',
       'tanning bed'], dtype=object)}",D,,,Commonsense,
Commonsense,Which state are you in if you're at a tennis court in a mitten-shaped state?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['town', 'country club', 'health club', 'florida', 'michigan'],
      dtype=object)}",E,,,Commonsense,
Commonsense,Where are you if your reading magazines while waiting for a vehicle on rails?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['vegetables', 'market', 'doctor', 'train station', 'bookstore'],
      dtype=object)}",D,,,Commonsense,
Commonsense,Where might a bureau be in charge?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['french government', 'home office', 'office building',
       'parliament', 'bedroom'], dtype=object)}",A,,,Commonsense,
Commonsense,What kind of leave did the manager assign all nonessential personnel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mandatory', 'shall', 'necessary', 'essential', 'required'],
      dtype=object)}",A,,,Commonsense,
Commonsense,When you meet interesting people your contacts list is likely to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['remember names', 'grow', 'friendly', 'cordial', 'friendship'],
      dtype=object)}",B,,,Commonsense,
Commonsense,What place could have one back garden?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['police station', 'city', 'town', 'england', 'house'], dtype=object)}",E,,,Commonsense,
Commonsense,Where does a cast act?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['perform', 'stage', 'cast net', 'film', 'broken leg'], dtype=object)}",B,,,Commonsense,
Commonsense,"Bill wants to make a fortune while sailing in the Caribbean, what should he look for?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'stock market', 'treasure chest', 'bag of cash',
       'real estate'], dtype=object)}",C,,,Commonsense,
Commonsense,If you have plenty to eat when you have lunch you'll do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eath', 'pouring coffee', 'feel empty', 'get full',
       'getting in line'], dtype=object)}",D,,,Commonsense,
Commonsense,James was an American horse. He thought his home was too hot.  Where might he have lived?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arizona', 'farm yard', 'south', 'michigan', 'western movie'],
      dtype=object)}",A,,,Commonsense,
Commonsense,"The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['regretful', 'hatred', 'downcast', 'unhappy', 'disappointed'],
      dtype=object)}",E,,,Commonsense,
Commonsense,What does the D in DRC stand for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dictatorship', 'democracy', 'democracy', 'state', 'democratic'],
      dtype=object)}",E,,,Commonsense,
Commonsense,After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['evaluate progress', 'include examples', 'time test',
       'prepare dinner', 'eat children'], dtype=object)}",D,,,Commonsense,
Commonsense,"James spent his days at his cottage trying to capture the beauty of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mountains', 'dense areas', 'village', 'countryside', 'painting'],
      dtype=object)}",E,,,Commonsense,
Commonsense,Where is a good place for a safabed to be so it can also be used for seating?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garage', 'sitting room', 'spare room', 'livingroom',
       'dinning roam'], dtype=object)}",B,,,Commonsense,
Commonsense,Where are things sometimes organized by a card catalog?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['store', 'recipe book', 'kitchen', 'easy browsing', 'library'],
      dtype=object)}",E,,,Commonsense,
Commonsense,Where are you when an employee brings you cooked potatoes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathroom', 'cellar', 'countryside', 'restaurant', 'plate'],
      dtype=object)}",D,,,Commonsense,
Commonsense,"Jeremy is mastering a music scale, where should he find books on the matter?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['post office', 'music store', 'assay office', 'butcher shop',
       ""doctor's office""], dtype=object)}",B,,,Commonsense,
Commonsense,What would a person do to help someone that is not able to speak coherently?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sign language', 'complete sentence', 'drink tea', 'feel angry',
       'cross street'], dtype=object)}",B,,,Commonsense,
Commonsense,What would you put a spoon into after you finish eating?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dishwasher', 'bowl of soup', 'washing machine', 'serving dish',
       'dinner'], dtype=object)}",A,,,Commonsense,
Commonsense,Where does something get weighed on a scale in order to determine a price?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'bathroom', 'post office', 'craft store',
       ""doctor's office""], dtype=object)}",C,,,Commonsense,
Commonsense,If the though of performing makes you anxious what do you suffer from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being appreciated', 'get attention', 'terror', 'stage fright',
       'fear'], dtype=object)}",D,,,Commonsense,
Commonsense,What is a reason to pay your television bill?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['informative', 'dead', 'legal', 'entertaining', 'obsolete'],
      dtype=object)}",C,,,Commonsense,
Commonsense,"If a couple is having financial issues, buying products can lead to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['economic boom', 'being able to use', 'disagreements',
       'spending money', 'joy'], dtype=object)}",C,,,Commonsense,
Commonsense,"After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wrong', 'death of', 'bad', 'negative', 'evil'], dtype=object)}",E,,,Commonsense,
Commonsense,"Matt had issues controlling his anger, what did he do when someone set him off?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['destroy enemy', 'punch', 'cool off', 'write letter',
       'illustrate point'], dtype=object)}",B,,,Commonsense,
Commonsense,What can help you with an illness?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['elderly person', 'sick person', 'hospital', ""doctor's office"",
       'stomach'], dtype=object)}",D,,,Commonsense,
Commonsense,Where will a bullet projectile be found during a war?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battle field', 'museum', 'weapon', 'canon', 'tornado'],
      dtype=object)}",A,,,Commonsense,
Commonsense,"She was playing violin with the hope of recording it someday, what did she want to do with her talent?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['calluses', 'playing wrong note', 'audition', 'making music',
       'read music'], dtype=object)}",D,,,Commonsense,
Commonsense,What might be the result of a season of successful skiing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['finish line', 'broken bones', 'broken legs', 'chapped lips',
       'healthy body'], dtype=object)}",E,,,Commonsense,
Commonsense,"Working in the vegetable garden everyday is good for you, you get to spend time where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backyard', 'outside', 'amusement park', 'eating', 'back yard'],
      dtype=object)}",B,,,Commonsense,
Commonsense,What type of water transportation is human powered?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['turn away', 'let down', 'have to sleep', 'run', 'row boat'],
      dtype=object)}",E,,,Commonsense,
Commonsense,"If you saw a fish break the surface of the water and flap its fins in the air, you might think it is doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school together', 'pets', 'attempt to fly', 'find food', 'hatred'],
      dtype=object)}",C,,,Commonsense,
Commonsense,Where might you find a computer user that is visiting a foreign city and didn't bring their own computer along?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school', 'hell', 'internet cafe', 'office building', 'despair'],
      dtype=object)}",C,,,Commonsense,
Commonsense,When you're getting drunk and stumbling what might you be feeling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stumbling', 'nausea', 'fights', 'death',
       'your head hit the ground'], dtype=object)}",B,,,Commonsense,
Commonsense,"The man was sick of secular consumerism, what life did he seek instead?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eternal', 'married life', 'religious', 'monastic',
       'unpredictable'], dtype=object)}",D,,,Commonsense,
Commonsense,Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling good', 'deep breathing', 'sleeping', 'taking a bath',
       'fall asleep'], dtype=object)}",B,,,Commonsense,
Commonsense,James turned on his computer and the monitor lit on the room.  What might his body do as he stands there?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see a ghost', 'become sensible', 'make decisions', 'crash',
       'cast shadow'], dtype=object)}",E,,,Commonsense,
Commonsense,If an insurance adjuster finds your claim incorrect they will do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forgive', 'disown reject', 'relinquish', 'deny', 'give back'],
      dtype=object)}",D,,,Commonsense,
Commonsense,Bill loved riding his bike and did it all the time.  He had trouble going up hills and sometimes pushed himself to the point of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'give up', 'exhaustion', 'travelling',
       'going somewhere'], dtype=object)}",C,,,Commonsense,
Commonsense,"After I urinate and flush the toilet and wash my hands, what should I do next?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flush toilet', 'dry hands', 'zip pants', 'eat', 'wash hands'],
      dtype=object)}",D,,,Commonsense,
GSM8k,Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,,"The town had 684 people then had a 25% growth spurt increasing the population by 684*.25 = 171 people
The town had 684 people then they added 171 people bringing the population to 684+171 = <<684+171=855>>855 people
There were 855 people and 40% moved away so it decreased by 855*.40 = 342
The population was 855 and 342 people moved away making the new population 855-342 = <<855-342=513>>513 people
#### 513",Youngsville had a population of 684 people.  The town had a growth () and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,spurt,GSM8k,
GSM8k,"Bill is stocking the kitchenware section of the Walmart. He needs to stack 60 pots. On each shelf, he can stack five pots vertically and three sets of vertically stacked pots side-by-side. How many shelves does he need to stock all the pots?",,"First find how many pots fit on one shelf: 5 pots/set * 3 sets = <<5*3=15>>15 pots
Then divide the number of pots Bill has by the number that fit on each shelf: 60 pots / 15 pots/shelf = <<60/15=4>>4 shelves
#### 4","Bill is stocking the kitchenware section of the Walmart. He needs to stack 60 pots. On each shelf, he can stack five pots vertically and three () of vertically stacked pots side-by-side. How many shelves does he need to stock all the pots?",sets,GSM8k,
GSM8k,"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",,"The first pair of weights weighs 3 lb each so all total they weigh 2*3 = <<3*2=6>>6 lbs
The second pair of weights weigh 5 lbs each so they weigh 2*5 = <<5*2=10>>10 lbs
The third pair of weights weigh 8 lbs each so they weigh 2*8 = <<8*2=16>>16lbs
All total, the entire system of weights weigh 6+10+16 = <<6+10+16=32>>32 lbs
#### 32","Cilia wants to buy a multi-level dumbbell system.  The first () of dumbbells are 3 lb weights, the second () is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",pair,GSM8k,
GSM8k,"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?",,"In the second third of the trip, Lydia is going to use 60 liters of fuel / 3 = <<60/3=20>>20 liters of fuel.
In the final third of the trip, she needs half of this amount so she is going to be using 20 liters / 2 = <<20/2=10>>10 liters of fuel.
So in the first third, Lydia used the remaining amount of fuel which is 60 total liters of fuel – 20 liters of fuel in the second third – 10 liters of fuel in the final third = <<60-20-10=30>>30 liters of fuel.
#### 30","Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of () and she will use all of this during her trip. She isn't sure how much () she is going to use in the first third of the trip but she knows she will need a third of all of her () for the second third of the trip, and half this amount for the final third of the trip. How much (), in liters, can Lydia use in the first third of the trip?",fuel,GSM8k,
GSM8k,"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",,"First find how many liters of the seawater are salt: 2 liters * 20% = <<2*20*.01=.4>>.4 liters
Then multiply that amount by 1000 ml/liter to find the number of ml of salt Jack gets: .4 liters * 1000 ml/liter = <<.4*1000=400>>400 ml
#### 400","Jack is stranded on a desert island. He wants some salt to season his (). He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",fish,GSM8k,
GSM8k,Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,,"The ants have 72 legs because 12 times 6 equals <<12*6=72>>72
The spiders have 64 legs because 8 times 8 equals <<8*8=64>>64.
There are a total of 136 legs because 72 plus 64 equals <<72+64=136>>136.
#### 136",Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the () of legs of the entire collection is.,number,GSM8k,
GSM8k,John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,,"The second protest was 4*.25=<<4*.25=1>>1 day longer than the first.
So the second protest was 4+1=<<4+1=5>>5 days.
Thus he spent 4+5=<<4+5=9>>9 days protesting.
#### 9",John attends a protest for 4 ().  He then attends a second protest for 25% longer than the first.  How many () did he spend protesting?,days,GSM8k,
