question,choices,answer
What would you be doing if you are having lunch?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eating', 'hunger', 'burp', 'laughing', 'food'], dtype=object)}",A
A hinged door is not always found in which room of the house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jamb', 'own house', 'building', 'kitchen', 'washing machine'],
      dtype=object)}",D
Why could someone fall down after eating lunch?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drowsiness', 'late for work', 'feel full', 'lethargy',
       'feel sleepy'], dtype=object)}",E
What is the opposite of ambiguous?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clear', 'certain', 'distinct', 'blurry', 'explicit'], dtype=object)}",A
What do people feel when something good happens?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['experience joy', 'believe in god', 'sadness', 'get sick',
       'ask questions'], dtype=object)}",A
A modern farmer needs many skills common for who in order to manage finances and increase sales?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['harvesting', 'business man', 'city dweller', 'farm land',
       'industrial'], dtype=object)}",B
Where in your office would you store a highlight that you don't use often?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office supply store', 'case', 'desk drawer', 'campus book store',
       'lamp'], dtype=object)}",C
"She loved the music so much, how did she describe it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['silent', 'express emotion', 'beautifull', 'irritate',
       'quiet mind'], dtype=object)}",C
Where would you store potato chips in their home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['supermarket', 'toilet', 'pantry', 'bar', 'motherboard'],
      dtype=object)}",C
Why do people want to swim in the heat?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wear bathing suit', 'fun', 'excercise', 'cool down', 'exercise'],
      dtype=object)}",D
"A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nature', 'pet shop', 'georgia', 'tropical forest', 'france'],
      dtype=object)}",A
Where is known for powerful storms from the ocean?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rain', 'weather report', 'tropics', 'summer', 'america'],
      dtype=object)}",C
Thousands of companies and a rosebush call what place home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lawn', 'rose parade', 'backyard', 'delaware', 'planting'],
      dtype=object)}",D
Where could you see an advertisement while reading news?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['television', 'bus', 'email', 'web page', 'la ville'], dtype=object)}",D
Most people won't always say what they mean.   They're twisty like that.  They want to avoid conflict. You have to use your brain if you want to understand.    What do most people due sometimes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lie', 'set table', 'think', 'read books', 'not speak'],
      dtype=object)}",A
"The children were going to play, the parents encouraged it hoping it resulted in what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being entertained', 'spending money', 'intermission',
       'weight loss', 'sleepiness'], dtype=object)}",E
If you entire body is experiencing fatigue what would you do at the end of the day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sleep', 'sit down', 'sit on chair', 'have rest', 'lie on floor'],
      dtype=object)}",A
"if you cogitate on something for a long time, you can get this feeling?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['might understand', 'enjoy', 'sit comfortably',
       'think about things', 'get irritated'], dtype=object)}",A
"After answering questions from the press for hours, what did the police chief feel?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritation', 'sadness', 'polite', 'teaching', 'detective'],
      dtype=object)}",A
"A lawyer is taking care of proposals, what are they trying to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['paperwork', 'getting work done', 'results', 'finishing up',
       'marriage'], dtype=object)}",B
"When you want to go to bed with a pretty girl and want to get warm, what do you need to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pull up covers', 'fall asleep', 'brush teeth',
       'remove the covers', 'get laid'], dtype=object)}",A
"It is a teachers job to help students commit to memory new skills, what is the teachers main job in the classroom to help students do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make tape', 'memorize', 'never forget', 'concentrate', 'learn'],
      dtype=object)}",E
Where is aberdeen in the US located?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['washington', 'europe', 'scotland', 'maryland', 'south dakota'],
      dtype=object)}",A
Where do students stick gum in school?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['books', 'sidewalk', 'water fountain', 'shelf', 'movies'],
      dtype=object)}",C
What is a method expressing yourself while making an object of lasting beauty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['understood', 'being slapped', 'people will understand', 'pain',
       'creation of art'], dtype=object)}",E
James was dedicated to contemplating things.  What did he seek?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['revelations', 'hesitation', 'lessons', 'new insights',
       'enlightenment'], dtype=object)}",E
Where could I buy some chocolate?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'hotel', 'mouth', 'box', 'supermarket'], dtype=object)}",E
"The police saw the moving car, what did they know the suspect was doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['driving', 'breathing', 'getting tired', 'ticket', 'accidents'],
      dtype=object)}",A
Where are you normally when you take a bath?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['greece', 'hotel room', 'clothing store', 'own home', 'house'],
      dtype=object)}",D
where can someone get a new chess set?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'toy store', 'michigan', 'cupboard', 'dorm'],
      dtype=object)}",B
"When he was a small child he called the giraffe mascot a cow, it was a fond memory of the now defunct what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toy store', 'story book', 'great outdoors', 'countryside',
       'wildlife refuge'], dtype=object)}",A
Where do lizards like to sun themselves?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garden', 'jazz club', 'tropical rainforest', 'rocky places',
       'tanning bed'], dtype=object)}",D
Which state are you in if you're at a tennis court in a mitten-shaped state?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['town', 'country club', 'health club', 'florida', 'michigan'],
      dtype=object)}",E
Where are you if your reading magazines while waiting for a vehicle on rails?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['vegetables', 'market', 'doctor', 'train station', 'bookstore'],
      dtype=object)}",D
Where might a bureau be in charge?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['french government', 'home office', 'office building',
       'parliament', 'bedroom'], dtype=object)}",A
What kind of leave did the manager assign all nonessential personnel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mandatory', 'shall', 'necessary', 'essential', 'required'],
      dtype=object)}",A
When you meet interesting people your contacts list is likely to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['remember names', 'grow', 'friendly', 'cordial', 'friendship'],
      dtype=object)}",B
What place could have one back garden?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['police station', 'city', 'town', 'england', 'house'], dtype=object)}",E
Where does a cast act?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['perform', 'stage', 'cast net', 'film', 'broken leg'], dtype=object)}",B
"Bill wants to make a fortune while sailing in the Caribbean, what should he look for?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'stock market', 'treasure chest', 'bag of cash',
       'real estate'], dtype=object)}",C
If you have plenty to eat when you have lunch you'll do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eath', 'pouring coffee', 'feel empty', 'get full',
       'getting in line'], dtype=object)}",D
James was an American horse. He thought his home was too hot.  Where might he have lived?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arizona', 'farm yard', 'south', 'michigan', 'western movie'],
      dtype=object)}",A
"The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['regretful', 'hatred', 'downcast', 'unhappy', 'disappointed'],
      dtype=object)}",E
What does the D in DRC stand for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dictatorship', 'democracy', 'democracy', 'state', 'democratic'],
      dtype=object)}",E
After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['evaluate progress', 'include examples', 'time test',
       'prepare dinner', 'eat children'], dtype=object)}",D
"James spent his days at his cottage trying to capture the beauty of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mountains', 'dense areas', 'village', 'countryside', 'painting'],
      dtype=object)}",E
Where is a good place for a safabed to be so it can also be used for seating?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garage', 'sitting room', 'spare room', 'livingroom',
       'dinning roam'], dtype=object)}",B
Where are things sometimes organized by a card catalog?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['store', 'recipe book', 'kitchen', 'easy browsing', 'library'],
      dtype=object)}",E
Where are you when an employee brings you cooked potatoes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathroom', 'cellar', 'countryside', 'restaurant', 'plate'],
      dtype=object)}",D
"Jeremy is mastering a music scale, where should he find books on the matter?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['post office', 'music store', 'assay office', 'butcher shop',
       ""doctor's office""], dtype=object)}",B
What would a person do to help someone that is not able to speak coherently?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sign language', 'complete sentence', 'drink tea', 'feel angry',
       'cross street'], dtype=object)}",B
What would you put a spoon into after you finish eating?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dishwasher', 'bowl of soup', 'washing machine', 'serving dish',
       'dinner'], dtype=object)}",A
Where does something get weighed on a scale in order to determine a price?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'bathroom', 'post office', 'craft store',
       ""doctor's office""], dtype=object)}",C
If the though of performing makes you anxious what do you suffer from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being appreciated', 'get attention', 'terror', 'stage fright',
       'fear'], dtype=object)}",D
What is a reason to pay your television bill?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['informative', 'dead', 'legal', 'entertaining', 'obsolete'],
      dtype=object)}",C
"If a couple is having financial issues, buying products can lead to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['economic boom', 'being able to use', 'disagreements',
       'spending money', 'joy'], dtype=object)}",C
"After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wrong', 'death of', 'bad', 'negative', 'evil'], dtype=object)}",E
"Matt had issues controlling his anger, what did he do when someone set him off?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['destroy enemy', 'punch', 'cool off', 'write letter',
       'illustrate point'], dtype=object)}",B
What can help you with an illness?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['elderly person', 'sick person', 'hospital', ""doctor's office"",
       'stomach'], dtype=object)}",D
Where will a bullet projectile be found during a war?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battle field', 'museum', 'weapon', 'canon', 'tornado'],
      dtype=object)}",A
"She was playing violin with the hope of recording it someday, what did she want to do with her talent?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['calluses', 'playing wrong note', 'audition', 'making music',
       'read music'], dtype=object)}",D
What might be the result of a season of successful skiing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['finish line', 'broken bones', 'broken legs', 'chapped lips',
       'healthy body'], dtype=object)}",E
"Working in the vegetable garden everyday is good for you, you get to spend time where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backyard', 'outside', 'amusement park', 'eating', 'back yard'],
      dtype=object)}",B
What type of water transportation is human powered?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['turn away', 'let down', 'have to sleep', 'run', 'row boat'],
      dtype=object)}",E
"If you saw a fish break the surface of the water and flap its fins in the air, you might think it is doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school together', 'pets', 'attempt to fly', 'find food', 'hatred'],
      dtype=object)}",C
Where might you find a computer user that is visiting a foreign city and didn't bring their own computer along?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school', 'hell', 'internet cafe', 'office building', 'despair'],
      dtype=object)}",C
When you're getting drunk and stumbling what might you be feeling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stumbling', 'nausea', 'fights', 'death',
       'your head hit the ground'], dtype=object)}",B
"The man was sick of secular consumerism, what life did he seek instead?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eternal', 'married life', 'religious', 'monastic',
       'unpredictable'], dtype=object)}",D
Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling good', 'deep breathing', 'sleeping', 'taking a bath',
       'fall asleep'], dtype=object)}",B
James turned on his computer and the monitor lit on the room.  What might his body do as he stands there?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see a ghost', 'become sensible', 'make decisions', 'crash',
       'cast shadow'], dtype=object)}",E
If an insurance adjuster finds your claim incorrect they will do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forgive', 'disown reject', 'relinquish', 'deny', 'give back'],
      dtype=object)}",D
Bill loved riding his bike and did it all the time.  He had trouble going up hills and sometimes pushed himself to the point of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'give up', 'exhaustion', 'travelling',
       'going somewhere'], dtype=object)}",C
"After I urinate and flush the toilet and wash my hands, what should I do next?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flush toilet', 'dry hands', 'zip pants', 'eat', 'wash hands'],
      dtype=object)}",D
