question,answer,masked_question,masked_word_answer
"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?","First find the total number of times the cost is halved: 30 years / 10 years/halving = 3 halvings
Then halve the cost once: $1,000,000 / 2 = $<<1000000/2=500000>>500,000
Then halve the cost a second time: $500,000 / 2 = $<<500000/2=250000>>250,000
Then halve the cost a third time: $250,000 / 2 = $<<250000/2=125000>>125,000
#### 125000","When Matty was born, the cost of a () to Mars was $1,000,000. The cost is halved every 10 years. How much will a () cost when Matty is 30?",ticket
"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?","Beth and Jan scored a total of 12 + 10 = <<12+10=22>>22.
Judy and Angel scored a total of 8 + 11 = <<8+11=19>>19.
Thus, the first team scores 22 - 19 = <<22-19=3>>3 more points than the second team.
#### 3","In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more () did the first team get than the second team?",points
Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly sandwiches did he eat for lunch this school year?,"36 weeks of school x 2 days of the week = <<36*2=72>>72 days of school
1 Wednesday + 2 Fridays = <<1+2=3>>3 days of school missed
72 days of school – 3 days of school missed = <<72-3=69>>69 peanut butter and jelly sandwiches eaten
#### 69",Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly () did he eat for lunch this school year?,sandwiches
"Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of gummies which cost $2 each. If she has $15, how much was she left with after spending on the candies?","She spent 4 x $1.50 = $<<4*1.5=6>>6 for the lollipops.
She also spent 2 x $2 = $<<2*2=4>>4 for the gummies.
Therefore, Chastity was left with $15 - $10 = $<<15-10=5>>5
#### 5","Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of () which cost $2 each. If she has $15, how much was she left with after spending on the candies?",gummies
"The local school is holding a big fair to raise money for 5 classes that want to go on a trip. 150 people came to the party and paid a total of $368 for entrance tickets. There was a raffle which brought in $343. The sale of cakes and drinks brought $279. At the end of the fair, the principal of the school shared the money raised between the 5 classes. How much money did each class receive?","First, let’s calculate the total amount of money collected, which is 368 + 343 + 279 = $<<368+343+279=990>>990.
Let us now share this sum between the 5 classes: 990 / 5 = $<<990/5=198>>198.
#### 198","The local school is holding a big fair to raise money for 5 classes that want to go on a trip. 150 people came to the party and paid a total of $368 for () tickets. There was a raffle which brought in $343. The sale of cakes and drinks brought $279. At the end of the fair, the principal of the school shared the money raised between the 5 classes. How much money did each class receive?",entrance
Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The living room took twice as much time as everything else combined.  How long did everything take?,"The kitchen took 4 * .5 = <<4*.5=2>>2 hours longer than the bedrooms
So the kitchen took 4 + 2 = <<4+2=6>>6 hours
The bedrooms took 3 * 4 = <<3*4=12>>12 hours
So the kitchen and bedrooms combined took 12 + 6 = <<12+6=18>>18 hours
The living room took 18 * 2 = <<18*2=36>>36 hours
So everything took a total of 18 + 36 = <<18+36=54>>54 hours
#### 54",Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The () room took twice as much time as everything else combined.  How long did everything take?,living
"Sandro has six times as many daughters as sons. If he currently has three sons, how many children does he have?","If Sandro has three sons, the total number of daughters, six times the number of sons, is 3 sons * 6 daughters/son = <<3*6=18>>18 daughters.
The total number of children is 18 daughters + 3 sons = <<18+3=21>>21 children.
#### 21","Sandro has six times as many daughters as (). If he currently has three (), how many children does he have?",sons
"Jennifer is building tanks to hold her goldfish. She built 3 tanks that will hold 15 fish each, heated, and filled them. She plans to build the rest of the tanks equipped with heaters, and they will hold 10 fish each. If she needs to build enough tanks to house a total of 75 fish, how many more will she need to build?","With the tanks already built it has room for 3 tanks * 15 fish/tank = <<3*15=45>>45 fish.
The total of fish that still lack space is 75 fish - 45 fish = <<75-45=30>>30 fish.
This means Jennifer needs 30 fish / 10 fish/tank = <<30/10=3>>3 tanks of 10 fish.
#### 3","Jennifer is building tanks to hold her (). She built 3 tanks that will hold 15 fish each, heated, and filled them. She plans to build the rest of the tanks equipped with heaters, and they will hold 10 fish each. If she needs to build enough tanks to house a total of 75 fish, how many more will she need to build?",goldfish
"September's temperature fluctuated severely in 1 week.  They started off with 40 degrees on Sunday then hit 50 on Monday, 65 on Tuesday, 36 on Wednesday, 82 on Thursday, 72 on Friday and ended the week at 26 on Saturday.  What was the average temperature for that week?","When you add up the temperature for the entire week, it comes to 40+50+65+36+82+72+26 = <<40+50+65+36+82+72+26=371>>371
These temperatures were over 7 days so the average temperature was 371/7 =<<371/7=53>>53 degrees
#### 53","September's temperature fluctuated severely in 1 week.  They started off with 40 () on Sunday then hit 50 on Monday, 65 on Tuesday, 36 on Wednesday, 82 on Thursday, 72 on Friday and ended the week at 26 on Saturday.  What was the average temperature for that week?",degrees
Stella and Twinkle are filling up a truck with a capacity of 6000 stone blocks at the rate of 250 blocks per hour per person. They work for four hours and are then joined by 6 other people who also work at the same rate. How many hours did filling the truck take?,"Stella and Twinkle filled up the truck at the rate of 250 blocks per hour per person, a total of 2*250 = <<250*2=500>>500 blocks per hour for both.
After working for four hours, Stella and Twinkle had filled 4*500 = <<4*500=2000>>2000 blocks into the truck.
The number of blocks they had to put into the truck for it to be full is 6000-2000 = <<6000-2000=4000>>4000
When 6 more people joined Stella and Twinkle, a total of 2+6 = <<2+6=8>>8 people were filling the truck now.
Working at the rate of 250 blocks per person, the eight people filled the truck with 250*8 = <<250*8=2000>>2000 blocks in one hour.
If there were 4000 blocks that still needed to be put into the truck, the 8 people took 4000/2000 = <<4000/2000=2>>2 hours to fill the truck with the blocks.
The total time it took to fill up the tank is 4+2 = <<4+2=6>>6 hours.
#### 6",Stella and Twinkle are filling up a () with a capacity of 6000 stone blocks at the rate of 250 blocks per hour per person. They work for four hours and are then joined by 6 other people who also work at the same rate. How many hours did filling the () take?,truck
"Marla has to spend 20 minutes driving one way to her son's school, then 70 minutes attending parent-teacher night, then the same amount of time driving home. How many minutes does Marla spend on this errand in total?","First multiply Marla's one-way driving time by 2 to find her total driving time: 20 minutes * 2 = <<20*2=40>>40 minutes
Then add Marla's driving time to the time spent attending the conference to find the total time: 70 minutes + 40 minutes = <<70+40=110>>110 minutes
#### 110","Marla has to spend 20 () driving one way to her son's school, then 70 () attending parent-teacher night, then the same amount of time driving home. How many () does Marla spend on this errand in total?",minutes
"Jed collects stamp cards. Every week, he gets 6 cards. But every two weeks, he gives 2 cards to his friends. If Jed started with 20 cards, after how many weeks will he have a total of 40 cards?","In the first week, Jed has 20 + 6 = <<20+6=26>>26 cards.
In the second week, he has 26 + 6 = <<26+6=32>>32 cards.
But he is left with 32 - 2 = <<32-2=30>>30 cards on the 2nd week after giving 2 cards to his friend.
Then Jed has 30 + 6 = <<30+6=36>>36 cards on the 3rd week.
He has 36 + 6 = <<36+6=42>>42 cards on the 4th week.
After giving his friend 2 cards, he is then left with 42 - 2 = <<42-2=40>>40 cards on the 4th week.
Hence, Jed will have a total of 40 cards in 4 weeks.
#### 4","Jed collects stamp cards. Every week, he gets 6 cards. But every two (), he gives 2 cards to his friends. If Jed started with 20 cards, after how many () will he have a total of 40 cards?",weeks
"Tim buys 3 loaves of bread.  Each loaf of bread has 20 slices.  He pays for the 3 loaves of bread with 2 $20 bills.  He gets $16 change.  How much does each slice cost, in cents?","He gave 2*20=$<<2*20=40>>40.
So the total cost was 40-16=$<<40-16=24>>24.
That means each slice costs 24/3=$<<24/3=8>>8.
That means it costs 8*100=<<8*100=800>>800 cents.
So each slice is 800/20=<<800/20=40>>40 cents.
#### 40","Tim buys 3 loaves of bread.  Each loaf of bread has 20 slices.  He pays for the 3 loaves of bread with 2 $20 bills.  He gets $16 change.  How much does each slice cost, in ()?",cents
John buys a heating pad for $30.  He uses it 3 times a week for 2 weeks.  How much does he spend on each use?,"He uses it 3*2=<<3*2=6>>6 times
So he pays 30/6=$<<30/6=5>>5
#### 5",John buys a heating pad for $30.  He ()s it 3 times a week for 2 weeks.  How much does he spend on each ()?,use
"Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in total on the pills?","There were 9-4 = <<9-4=5>>5 other pills
Each of the other pills cost 1.50+5.50 = <<1.50+5.50=7>>7 dollars each.
The 5 pills cost a total of 7*5 = <<7*5=35>>35 dollars.
The first 4 pills cost 1.50*4 = <<1.50*4=6>>6 dollars in total.
Henry spent a total of 35+6 = <<35+6=41>>41 dollars.
#### 41","Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in () on the pills?",total
"Kamil wants to renovate his kitchen at home. For this purpose, he hired two professionals who work for him 6 hours a day for 7 days. What does it cost Kamil to hire these professionals if one of them is paid $15 per hour of work?","Two professionals work together 6 * 2 = <<6*2=12>>12 hours per day.
They work for 7 days, so in total it means 7 * 12 = <<7*12=84>>84 hours.
The cost of hiring these persons is 84 * 15 = $<<84*15=1260>>1260.
#### 1260","Kamil wants to renovate his kitchen at home. For this purpose, he hired two professionals who work for him 6 ()s a day for 7 days. What does it cost Kamil to hire these professionals if one of them is paid $15 per () of work?",hour
"Jeremy's uncle gave him $50 to spend on basketball equipment. He bought 5 jerseys that cost $2 each, a basketball that cost $18, and a pair of shorts that cost $8. How much money does Jeremy have left?","The cost of the jerseys is 5 jerseys × $2/jersey = $<<5*2=10>>10.
The total cost of the jerseys, the basketball, and the shorts is $10 + $18 + $8 = $<<10+18+8=36>>36.
Jeremy has $50 - $36 = $<<50-36=14>>14 left.
#### 14","Jeremy's uncle gave him $50 to spend on () equipment. He bought 5 jerseys that cost $2 each, a () that cost $18, and a pair of shorts that cost $8. How much money does Jeremy have left?",basketball
"Dorothy spent $53 to buy doughnut ingredients. If she made 25 doughnuts and sells each for $3, how much was her profit?","She was able to earn 25 x $3 = $<<25*3=75>>75 for the doughnuts.
Therefore, Dorothy's profit is $75 - $53 = $<<75-53=22>>22.
#### 22","Dorothy spent $53 to buy doughnut ingredients. If she made 25 doughnuts and sells each for $3, how much was her ()?",profit
"Two days ago, the temperature in the morning went up 1.5 degrees every 2 hours. If the temperature was 50 degrees at 3 A.M., what was the temperature at 11 A.M.?","At 5 A.M., the temperature was 50 degrees + 1.5 degrees = <<50+1.5=51.5>>51.5 degrees.
At 7 A.M., the temperature was 51.5 degrees + 1.5 degrees = <<51.5+1.5=53>>53 degrees.
At 9 A.M., the temperature was 53 degrees + 1.5 degrees = <<53+1.5=54.5>>54.5 degrees.
At 11 A.M., the temperature was 54.5 degrees + 1.5 degrees = <<54.5+1.5=56>>56 degrees.
#### 56","Two days ago, the () in the morning went up 1.5 degrees every 2 hours. If the () was 50 degrees at 3 A.M., what was the () at 11 A.M.?",temperature
"James has five huskies, two pitbulls and four golden retrievers, all female. They became pregnant and each golden retriever had two more pups than each husky. If the huskies and pitbulls had 3 pups each, How many more pups than adult dogs are there in total?","There are 5+2 = <<5+2=7>>7 huskies and pitbulls
7 huskies and pitbulls had 3 pups each for a total of 3*7 = <<7*3=21>>21 pups
Each golden retriever had 2 more pups each than the huskies who had 3 each so each golden retriever had 3+2 = <<3+2=5>>5 pups
4 golden retrievers had 5 pups each for a total of 20 pups
There are a total of 21+20 = <<21+20=41>>41 pups
There are a total of 5+2+4 = <<5+2+4=11>>11 adult dogs
There are 41-11 = <<41-11=30>>30 more pups than adult dogs
#### 30","James has five huskies, two pitbulls and four golden retrievers, all female. They became pregnant and each golden retriever had two more pups than each husky. If the huskies and pitbulls had 3 pups each, How many more pups than () dogs are there in total?",adult
"Lucy has been trying new recipes and wants to make sure she keeps the cupboard stocked with ingredients. She had a 500g bag of flour in the cupboard at the start of the week. She used 240g when she baked cookies on Tuesday, and accidentally spilled half of what was left when she was putting the flour away. If Lucy wants a full bag of flour in the cupboard, how much flour does she need to buy, in grams?","After baking cookies, Lucy had 500 – 240 = <<500-240=260>>260g of flour left.
She accidentally spilled half of this, which means she had 260 * 0.5 = <<260*0.5=130>>130g of flour left.
She therefore needs 500 – 130 = <<500-130=370>>370g of flour.
#### 370","Lucy has been trying new recipes and wants to make sure she keeps the cupboard stocked with ingredients. She had a 500g bag of flour in the cupboard at the start of the week. She used 240g when she baked cookies on Tuesday, and accidentally spilled half of what was left when she was putting the flour away. If Lucy wants a full bag of flour in the cupboard, how much flour does she need to buy, in ()?",grams
"Tom originally was only able to lift 80  kg farmer handles per hand.  After some training, he was able to double this number.  He then decided to specialize and was able to get an extra 10%.  How much weight can he hold in total?","After doubling he was able to hold 80*2=<<80*2=160>>160 kg per hand
Specialization gave him another 160*.1=<<160*.1=16>>16 kg
So he lifted 160+16=<<160+16=176>>176 kg per hand
That means he lifted a total of 352 kg
#### 352","Tom originally was only able to lift 80  kg farmer handles per hand.  After some training, he was able to double this number.  He then decided to specialize and was able to get an extra 10%.  How much () can he hold in total?",weight
"Jordan is a hockey goalie. In the first period of a game, he blocked four shots. In the second period, he blocked twice as many shots. In the third period, he blocked three fewer than in the second period. When the game ended after the fourth period, he had blocked 21 shots in all. How many did Jordan block in the fourth period?","Let F be the number of shots Jordan blocked in the fourth period.
In the second period, he blocked 2 * 4 = <<2*4=8>>8 shots.
In the third period, he blocked 8 - 3 = <<8-3=5>>5 shots.
In the whole game, he blocked 4 + 8 + 5 + F = 17 + F = 21 shots.
Thus, Jordan blocked F = 21 - 17 = <<21-17=4>>4 shots in the fourth period.
#### 4","Jordan is a () goalie. In the first period of a game, he blocked four shots. In the second period, he blocked twice as many shots. In the third period, he blocked three fewer than in the second period. When the game ended after the fourth period, he had blocked 21 shots in all. How many did Jordan block in the fourth period?",hockey
"On Friday, Markeesha sold 30 boxes of crackers for her scout troop's fundraiser. On Saturday, she sold twice as many as on Friday. On Sunday, she sold 15 fewer than Saturday. How many boxes did she sell over the three days?","On Saturday, she sold 2*30=<<2*30=60>>60 boxes.
On Sunday, she sold 60-15=<<60-15=45>>45 boxes.
She sold a total of 30+60+45=<<30+60+45=135>>135.
#### 135","On Friday, Markeesha sold 30 boxes of () for her scout troop's fundraiser. On Saturday, she sold twice as many as on Friday. On Sunday, she sold 15 fewer than Saturday. How many boxes did she sell over the three days?",crackers
Tom spends $250 to buy gems in a game he plays.  The game gives 100 gems for each dollar you spend.  Since he bought so many gems he got a 20% bonus of more gems. How many gems did he end up with?,"He bought 250*100=<<250*100=25000>>25000 gems
He got a 25,000*.2=<<25000*.2=5000>>5,000 gem bonus
So he got a total of 25000+5000=<<25000+5000=30000>>30,000 gems
#### 30,000",Tom spends $250 to buy () in a game he plays.  The game gives 100 () for each dollar you spend.  Since he bought so many () he got a 20% bonus of more (). How many () did he end up with?,gems
"How many apples did two men and three women buy at a certain store if the two men each bought 30 apples, 20 less than the number of apples bought by each woman?","If the two men each bought 30 apples, together they bought 2*30 = <<2*30=60>>60 apples.
Since the two men each bought 30 apples, 20 less than the total number of apples bought by each woman, each woman bought 20+30 = <<20+30=50>>50 apples.
The total number of apples bought by the women is 3*50 = <<3*50=150>>150
Altogether, the two men and three women bought 60+150 = <<60+150=210>>210 apples.
#### 210","How many apples did two () and three wo() buy at a certain store if the two () each bought 30 apples, 20 less than the number of apples bought by each woman?",men
"Luisa drives 10 miles to the grocery store, 6 miles to the mall, 5 miles to the pet store, then 9 miles back home. One gallon of gas can be used to drive 15 miles. If one gallon of gas costs $3.50, what is the total cost of the gas for Luisa’s entire trip?","Luisa drives a total of 10 + 6 + 5 + 9 = <<10+6+5+9=30>>30 miles
Luisa uses 30 / 15 = <<30/15=2>>2 gallons of gas for her trip
The total cost of the gas for Luisa’s trip is 2 * $3.50 = $<<2*3.5=7>>7
#### 7","Luisa drives 10 miles to the grocery store, 6 miles to the (), 5 miles to the pet store, then 9 miles back home. One gallon of gas can be used to drive 15 miles. If one gallon of gas costs $3.50, what is the total cost of the gas for Luisa’s entire trip?",mall
"Tony has a bucket that holds 2 pounds of sand. He has a sandbox out back that is two feet deep, four feet wide, and 5 feet long. A cubic foot of sand weighs 3 pounds. Because it's hot outside, he wants to make sure he stays hydrated, so every 4 trips he takes he drinks 3 ounces of bottled water. A 15 ounce bottle of water costs $2. He has $10 with him. How much change will he have after he buys all the water he needs?","The sandbox is 40 cubic feet because 2 x 4 x 5 = <<2*4*5=40>>40
He needs 120 pounds of sand because 40 x 3 = <<40*3=120>>120
He will take 60 trips because 120 / 2 = <<120/2=60>>60
He will need to drink water 15 times because 60 / 4 = <<60/4=15>>15
He will drink 45 ounces of water because 15 x 3 = <<15*3=45>>45
He will need 3 bottles of water because 45 / 15 = <<45/15=3>>3
He will spend $6 on water because 3 x 2 = <<3*2=6>>6
He will have $4 in change because 10 - 6 = <<10-6=4>>4
#### 4","Tony has a bucket that holds 2 pounds of sand. He has a () out back that is two feet deep, four feet wide, and 5 feet long. A cubic foot of sand weighs 3 pounds. Because it's hot outside, he wants to make sure he stays hydrated, so every 4 trips he takes he drinks 3 ounces of bottled water. A 15 ounce bottle of water costs $2. He has $10 with him. How much change will he have after he buys all the water he needs?",sandbox
"If Brooke adds eight balloons to his current 12, and Tracy adds 24 to her current 6, how many balloons will they have in total if Tracy pops half of her balloons?","When Brooke gets twelve more balloons, his total becomes 12+8 = <<12+8=20>>20
When Tracy adds 24 more balloons to her 6, her total number of balloons becomes 24+6 = <<24+6=30>>30
When half of Tracy's balloons pop, she remains with 1/2*30 =<<1/2*30=15>>15
The combined total balloons for the two is 15+20 = <<15+20=35>>35 balloons
#### 35","If Brooke adds eight balloons to his current 12, and Tracy adds 24 to her current 6, how many balloons will they have in () if Tracy pops half of her balloons?",total
"There are 11 males & 12 females in the orchestra and twice that number in the band. There are 12 males & 17 females in the choir. If each musician only participates in one group, how many musicians total are there in the orchestra, the band, and the choir?","The number of musicians in the orchestra is 11 + 12 = <<11+12=23>>23.
The number of musicians in the band is 2 × 23 = <<2*23=46>>46.
The number of students in the choir is 12 + 17 = <<12+17=29>>29.
There are 23 + 46 + 29 = <<23+46+29=98>>98 musicians in total.
#### 98","There are 11 males & 12 females in the orchestra and twice that number in the band. There are 12 males & 17 females in the choir. If each musician only participates in one group, how many () total are there in the orchestra, the band, and the choir?",musicians
"Keanu was surfing towards the shore at a speed of 20 miles per hour.  A shark was swimming alongside him, riding the same wave, when it doubled its speed and moved away from Keanu.  There was a pilot fish swimming alongside Keanu and the shark, and when the shark increased its speed, the pilot fish also increased its speed and moved away from Keanu, but only increasing its speed by half as much as the shark had increased its speed by.  What speed, in miles per hour, was the pilot fish swimming when it moved away from Keanu?","The shark went from 20 miles per hour to a speed of 2*20=40 miles per hour.
The shark increased its speed by 40-20=<<40-20=20>>20 miles per hour.
Half of the shark's increase in speed is 20/2=<<20/2=10>>10 miles per hour.
Thus the pilot fish had increased its speed to 20+10=<<20+10=30>>30 miles per hour.
#### 30","Keanu was surfing towards the shore at a speed of 20 miles per hour.  A shark was swimming alongside him, riding the same (), when it doubled its speed and moved away from Keanu.  There was a pilot fish swimming alongside Keanu and the shark, and when the shark increased its speed, the pilot fish also increased its speed and moved away from Keanu, but only increasing its speed by half as much as the shark had increased its speed by.  What speed, in miles per hour, was the pilot fish swimming when it moved away from Keanu?",wave
"A married couple and their 6 children are ordering some pizza. If the couple want 3 slices each and the children want 1 slice each, how many 4-slice pizzas should they order?","The couple want 3 slices each for a total of 2*3 = <<3*2=6>>6 slices
The children want 1 slice each for a total of 1*6 = <<1*6=6>>6 slices
They want 6+6 = <<6+6=12>>12 slices in total
Each pizza has 4 slices so they need 12/4 = <<12/4=3>>3 pizzas
#### 3","A married couple and their 6 children are ordering some pizza. If the couple want 3 ()s each and the children want 1 () each, how many 4-() pizzas should they order?",slice
"Nikola is saving up for a bag of ant food before he can start his ant farm. He wants 400 ants in his farm. Each ant needs 2 ounces of food. Every ounce of ant food costs $.1. Nikola is saving up by raking leaves. He charges $5 to start a job and then he charges by the leaf. Each leaf he rakes costs 1 penny. He finally saved up enough money after he raked 6,000 leaves. How many jobs did he complete?","The ants will need 800 ounces of food because 400 x 2 = <<400*2=800>>800
The ant food will cost $80 because 800 x .1 = <<800*.1=80>>80
He has earned $60 from the leaves he has raked because 6000 leaves * $0.01/leaf = $<<6000*0.01=60>>60
He earned $20 from all his jobs because 80 - 60 = <<80-60=20>>20
He completed 4 jobs because 20 / 5 = <<20/5=4>>4
#### 4","Nikola is saving up for a bag of ant food before he can start his ant farm. He wants 400 ants in his farm. Each ant needs 2 () of food. Every ounce of ant food costs $.1. Nikola is saving up by raking leaves. He charges $5 to start a job and then he charges by the leaf. Each leaf he rakes costs 1 penny. He finally saved up enough money after he raked 6,000 leaves. How many jobs did he complete?",ounces
Tonya is buying Christmas gifts for her sisters. She has 2 sisters and wants to spend the exact same amount on each. She buys her younger sister 4 dolls that cost $15 each. She plans to buy lego sets for her older sister. They cost $20 each. How many lego sets does she buy?,"She spent $60 on her younger sister because 4 x 15 = <<4*15=60>>60
She buys 3 lego sets for her older sister because 60 / 20 = <<60/20=3>>3
#### 3",Tonya is buying Christmas gifts for her ()s. She has 2 ()s and wants to spend the exact same amount on each. She buys her younger () 4 dolls that cost $15 each. She plans to buy lego sets for her older (). They cost $20 each. How many lego sets does she buy?,sister
